alpha_0,gamma,M,total_ticks,total_emissions,total_agent_commits,first_commit_time,max_salience,mean_salience,cfl,dt,T
1.9,0.005,4,99,99,0,-1.0,0.03784166324071924,0.00889811339673395,1.0,0.005,100.0
1.9,0.001,1,99,99,1,97.09999999998418,0.05456918136038612,0.011474712329635022,1.0,0.005,100.0
1.9,0.001,2,99,99,0,-1.0,0.05246722534065501,0.01130797379419059,1.0,0.005,100.0
1.9,0.001,4,99,99,0,-1.0,0.04844376186469175,0.010975500421069378,1.0,0.005,100.0
1.9,0.0005,1,99,99,1,97.09999999998418,0.0563997214859661,0.011795654891454637,1.0,0.005,100.0
1.9,0.0005,2,99,99,0,-1.0,0.05420947905347248,0.011622623111012148,1.0,0.005,100.0
1.9,0.0005,4,99,99,0,-1.0,0.05001958232187386,0.01127765696338112,1.0,0.005,100.0
2.0,0.01,1,99,99,0,-1.0,0.0347653224722814,0.007974349660838565,1.0,0.005,100.0
2.0,0.01,2,99,99,0,-1.0,0.03359313895193445,0.007875338460641713,1.0,0.005,100.0
2.0,0.01,4,99,99,0,-1.0,0.031328539190142723,0.0076774406202508305,1.0,0.005,100.0
2.0,0.005,1,99,99,1,99.09999999998236,0.046674904613300754,0.01021831664671,1.0,0.005,100.0
2.0,0.005,2,99,99,0,-1.0,0.044984341405222096,0.01008010162454131,1.0,0.005,100.0
2.0,0.005,4,99,99,0,-1.0,0.04173385052966443,0.009804181249572047,1.0,0.005,100.0
2.0,0.001,1,99,99,1,95.099999999986,0.060177448687804364,0.01264224091121237,1.0,0.005,100.0
2.0,0.001,2,99,99,0,-1.0,0.05785704127932628,0.012458239618288321,1.0,0.005,100.0
2.0,0.001,4,99,99,0,-1.0,0.05341566256559676,0.012091349828241123,1.0,0.005,100.0
2.0,0.0005,1,99,99,1,95.099999999986,0.06219444205767124,0.012995587563340317,1.0,0.005,100.0
2.0,0.0005,2,99,99,0,-1.0,0.05977666751325513,0.012804648860747468,1.0,0.005,100.0
2.0,0.0005,4,99,99,0,-1.0,0.05515174828877545,0.012423987833133414,1.0,0.005,100.0
3.0,0.01,1,99,99,1,88.09999999999236,0.0760905672199072,0.017335603562985007,1.0,0.005,100.0
3.0,0.01,2,99,99,0,-1.0,0.07350447094313958,0.017117643055428164,1.0,0.005,100.0
3.0,0.01,4,99,99,0,-1.0,0.06851001199589238,0.0166820318520149,1.0,0.005,100.0
3.0,0.005,1,99,99,2,84.099999999996,0.10200798661737913,0.02219046800982636,1.0,0.005,100.0
3.0,0.005,2,99,99,1,98.09999999998327,0.09828615555074847,0.021886882679817286,1.0,0.005,100.0
3.0,0.005,4,99,99,0,-1.0,0.09113257243408988,0.021280884835012535,1.0,0.005,100.0
3.0,0.001,1,99,99,2,81.09999999999873,0.1313449290402812,0.027428389344147364,1.0,0.005,100.0
3.0,0.001,2,99,99,1,94.0999999999869,0.12624621826026952,0.027025010826925152,1.0,0.005,100.0
3.0,0.001,4,99,99,0,-1.0,0.11649032738560039,0.0262207666797425,1.0,0.005,100.0
3.0,0.0005,1,99,99,2,81.09999999999873,0.13572367016917045,0.02819147442725488,1.0,0.005,100.0
3.0,0.0005,2,99,99,1,94.0999999999869,0.130412345264263,0.0277729911713066,1.0,0.005,100.0
3.0,0.0005,4,99,99,0,-1.0,0.12025582807523985,0.02693876692755628,1.0,0.005,100.0
5.0,0.01,1,99,99,4,71.09500000000783,0.2066851061139403,0.046828150564187924,1.0,0.005,100.0
5.0,0.01,2,99,99,2,82.09999999999782,0.1996147060372585,0.04623332476886907,1.0,0.005,100.0
5.0,0.01,4,99,99,1,96.09999999998509,0.18596373065388236,0.045044598788724056,1.0,0.005,100.0
5.0,0.005,1,99,99,5,69.09500000000965,0.2767529730113902,0.05989029841008397,1.0,0.005,100.0
5.0,0.005,2,99,99,2,80.09999999999964,0.26659505809075734,0.059063297566358995,1.0,0.005,100.0
5.0,0.005,4,99,99,1,92.09999999998873,0.2470764654118147,0.05741261049833663,1.0,0.005,100.0
5.0,0.001,1,99,99,6,67.09500000001147,0.3559606556319452,0.07396902775934874,1.0,0.005,100.0
5.0,0.001,2,99,99,3,76.09500000000328,0.3420664863776696,0.07287189670532358,1.0,0.005,100.0
5.0,0.001,4,99,99,1,88.09999999999236,0.31548869963588355,0.07068463372815775,1.0,0.005,100.0
5.0,0.0005,1,99,99,7,66.09500000001238,0.3677749758192428,0.07601903076547059,1.0,0.005,100.0
5.0,0.0005,2,99,99,3,76.09500000000328,0.3533043906952715,0.07488104750179574,1.0,0.005,100.0
5.0,0.0005,4,99,99,1,88.09999999999236,0.32564082465480154,0.07261270910045968,1.0,0.005,100.0
