alpha_0,gamma,M,has_commits,agent_commit_count,first_commit_time,first_commit_tick,max_salience,avg_salience,final_psi
1.6,0.01,1,False,0,,,0.02045612774349668,0.004595216724016457,0.4549264556776292
1.6500000000000001,0.01,1,False,0,,,0.02175461241469045,0.004886905285594869,0.48380362327389204
1.7000000000000002,0.01,1,False,0,,,0.02309305046038403,0.005187568879834779,0.5135693191036431
1.7500000000000002,0.01,1,False,0,,,0.024471441880600932,0.005497207506743678,0.544223543167624
1.8000000000000003,0.01,1,False,0,,,0.0258897866752483,0.00581582116631726,0.5757662954654087
1.8500000000000003,0.01,1,False,0,,,0.027348084844493383,0.006143409858554996,0.6081975759969446
1.9000000000000004,0.01,1,False,0,,,0.02884633638821126,0.006479973583457632,0.6415173847623055
1.9500000000000004,0.01,1,False,0,,,0.030384541306360504,0.006825512341011523,0.6757257217601407
2.0000000000000004,0.01,1,False,0,,,0.031962699598991985,0.007180026131235612,0.7108225869923256
2.0500000000000007,0.01,1,False,0,,,0.03358081126638824,0.007543514954158105,0.7468079804616525
2.1000000000000005,0.01,1,False,0,,,0.03523887630785111,0.007915978809682051,0.7836819021585233
2.1500000000000004,0.01,1,False,0,,,0.03693689472418019,0.008297417697929571,0.8214443520950275
2.2000000000000006,0.01,1,False,0,,,0.03867486651493262,0.008687831618816644,0.8600953302628478
1.6,0.01,2,False,0,,,0.0197493636743431,0.004535924276851791,0.2222602895657377
1.6500000000000001,0.01,2,False,0,,,0.021002985391928065,0.004823849157702054,0.23636860872740068
1.7000000000000002,0.01,2,False,0,,,0.02229518008544081,0.005120633265652921,0.2509110300169931
1.7500000000000002,0.01,2,False,0,,,0.023625947754902878,0.00542627660071182,0.26588755343487913
1.8000000000000003,0.01,2,False,0,,,0.02499528840022962,0.005740779162874916,0.28129817898087095
1.8500000000000003,0.01,2,False,0,,,0.026403202021570732,0.006064140952140768,0.2971429066548976
1.9000000000000004,0.01,2,False,0,,,0.027849688618818425,0.006396361968510804,0.3134217364570294
1.9500000000000004,0.01,2,False,0,,,0.0293347481919263,0.006737442211971435,0.3301346683866004
2.0000000000000004,0.01,2,False,0,,,0.030858380740945567,0.0070873816825415634,0.34728170244453666
2.0500000000000007,0.01,2,False,0,,,0.03242058626614662,0.007446180380248191,0.3648628386321614
2.1000000000000005,0.01,2,False,0,,,0.034021364766857506,0.007813838304997009,0.3828780769448534
2.1500000000000004,0.01,2,False,0,,,0.03566071624385119,0.008190355456907241,0.4013274173884549
2.2000000000000006,0.01,2,False,0,,,0.037338640696689594,0.00857573183589627,0.4202108599589172
1.6,0.01,4,False,0,,,0.018385396499845764,0.004417444041891803,0.10601865700540326
1.6500000000000001,0.01,4,False,0,,,0.019552438269829994,0.004697848204702769,0.11274835691286647
1.7000000000000002,0.01,4,False,0,,,0.02075538901735366,0.004986880187905379,0.11968512450972908
1.7500000000000002,0.01,4,False,0,,,0.021994248742441144,0.005284539991506974,0.12682895979616737
1.8000000000000003,0.01,4,False,0,,,0.023269017445015975,0.005590827615504568,0.13417986277210964
1.8500000000000003,0.01,4,False,0,,,0.024579695125194503,0.005905743059894962,0.1417378334374791
1.9000000000000004,0.01,4,False,0,,,0.025926281782904043,0.0062292863246809415,0.14950287179234256
1.9500000000000004,0.01,4,False,0,,,0.02730877741809028,0.00656145740984907,0.15747497783637768
2.0000000000000004,0.01,4,False,0,,,0.02872718203080582,0.006902256315418086,0.16565415157003405
2.0500000000000007,0.01,4,False,0,,,0.030181495621293013,0.007251683041412605,0.17404039299390256
2.1000000000000005,0.01,4,False,0,,,0.03167171818893296,0.007609737587743636,0.18263370210584726
2.1500000000000004,0.01,4,False,0,,,0.033197849734446984,0.007976419954524593,0.19143407890859024
2.2000000000000006,0.01,4,False,0,,,0.034759890257404766,0.00835173014167572,0.20044152340021726
1.6,0.005,1,False,0,,,0.027340297551309012,0.005869025140921189,0.5810334889511977
1.6500000000000001,0.005,1,False,0,,,0.02907576565768263,0.006241570682100602,0.6179154975279597
1.7000000000000002,0.005,1,False,0,,,0.030864632782721852,0.006625579163017496,0.6559323371387321
1.7500000000000002,0.005,1,False,0,,,0.03270689892620556,0.007021050583634048,0.6950840077797708
1.8000000000000003,0.005,1,False,0,,,0.034602564088451866,0.007427984943985888,0.735370509454603
1.8500000000000003,0.005,1,False,0,,,0.036551628269294485,0.007846382244063947,0.7767918421623307
1.9000000000000004,0.005,1,False,0,,,0.03855409146871045,0.00827624248385216,0.8193480059013636
1.9500000000000004,0.005,1,False,0,,,0.04060995368706924,0.008717565663428378,0.8630390006794095
2.0000000000000004,0.005,1,False,0,,,0.04271921492392156,0.009170351782688387,0.9078648264861501
2.0500000000000007,0.005,1,False,0,,,0.044881875179328345,0.009634600841671405,0.9538254833254691
2.1000000000000005,0.005,1,False,0,,,0.04709793445371679,0.010110312840432793,1.0009209712028462
2.1500000000000004,0.005,1,True,1,99.09999999998236,99,0.04936739274651484,0.010597487778877972,0.0
2.2000000000000006,0.005,1,True,1,98.09999999998327,98,0.05169025005790797,0.011096125657048714,0.05169025005790797
1.6,0.005,2,False,0,,,0.026327583679553245,0.0057868171844261615,0.2835540420368819
1.6500000000000001,0.005,2,False,0,,,0.027998768190546596,0.006154144447116722,0.3015530779087194
1.7000000000000002,0.005,2,False,0,,,0.029721373763423233,0.006532774087129775,0.3201059302693589
1.7500000000000002,0.005,2,False,0,,,0.03149540039798022,0.006922706104428277,0.3392125991169855
1.8000000000000003,0.005,2,False,0,,,0.033320848094506486,0.007323940499046546,0.35887308445328076
