spatial_dimension,total_dimension,num_sources,alpha_0,alpha_1,gamma,M,T,grid_sizes,time_window_size,variant,has_commits,agent_commit_count,commit_rate,first_commit_time,last_commit_time,final_psi,max_salience,source_emission_counts
4,5,1,0.8,1.0,0.1,1,200,"(16, 16, 16, 16)",10,A_physics,True,15084,75.42,9.409999999999844,199.99999999996308,6.13725416357383,6.13725416357383,[20000]
4,5,1,0.8,1.0,0.1,1,500,"(16, 16, 16, 16)",10,A_physics,True,45084,90.168,9.409999999999844,499.99999999969026,10.860485545868986,10.861190655273989,[50000]
4,5,1,0.8,1.0,0.1,1,200,"(16, 16, 16, 16)",10,A_physics,True,15084,75.42,9.409999999999844,199.99999999996308,6.13725416357383,6.13725416357383,[20000]
4,5,1,0.8,1.0,0.1,1,500,"(16, 16, 16, 16)",10,A_physics,True,45084,90.168,9.409999999999844,499.99999999969026,10.860485545868986,10.861190655273989,[50000]
4,5,2,0.8,1.0,0.1,1,200,"(16, 16, 16, 16)",10,A_physics,True,17233,86.165,6.959999999999896,199.99999999996308,24.573239563766318,24.573239563766318,"[20000, 20000]"
4,5,2,0.8,1.0,0.1,1,500,"(16, 16, 16, 16)",10,A_physics,True,47233,94.466,6.959999999999896,499.99999999969026,43.153689560771085,43.160137866326814,"[50000, 50000]"
4,5,2,0.8,1.0,0.1,1,200,"(16, 16, 16, 16)",10,A_physics,True,17233,86.165,6.959999999999896,199.99999999996308,24.884832491079838,24.884832491079838,"[20000, 20000]"
4,5,2,0.8,1.0,0.1,1,500,"(16, 16, 16, 16)",10,A_physics,True,47233,94.466,6.959999999999896,499.99999999969026,45.1880659260263,45.1880659260263,"[50000, 50000]"
4,5,4,0.8,1.0,0.1,1,200,"(16, 16, 16, 16)",10,A_physics,True,18295,91.475,5.179999999999934,199.99999999996308,98.26707593708338,98.26707593708338,"[20000, 20000, 20000, 20000]"
4,5,4,0.8,1.0,0.1,1,500,"(16, 16, 16, 16)",10,A_physics,True,48295,96.59,5.179999999999934,499.99999999969026,173.29214216159212,173.31773491835733,"[50000, 50000, 50000, 50000]"
4,5,4,0.8,1.0,0.1,1,200,"(16, 16, 16, 16)",10,A_physics,True,18295,91.475,5.179999999999934,199.99999999996308,98.43126828390218,98.43126828390218,"[20000, 20000, 20000, 20000]"
4,5,4,0.8,1.0,0.1,1,500,"(16, 16, 16, 16)",10,A_physics,True,48295,96.59,5.179999999999934,499.99999999969026,175.1945816290195,175.22261338218664,"[50000, 50000, 50000, 50000]"
4,5,1,0.8,1.0,0.2,1,200,"(16, 16, 16, 16)",10,A_physics,True,12340,61.7,10.389999999999823,199.99999999996308,4.253964715840873,4.253964715840873,[20000]
4,5,1,0.8,1.0,0.2,1,500,"(16, 16, 16, 16)",10,A_physics,True,42340,84.68,10.389999999999823,499.99999999969026,27.625053301350015,27.625053301350015,[50000]
4,5,1,0.8,1.0,0.2,1,200,"(16, 16, 16, 16)",10,A_physics,True,12340,61.7,10.389999999999823,199.99999999996308,4.253964715840873,4.253964715840873,[20000]
