spatial_dimension,total_dimension,num_sources,alpha_0,alpha_1,gamma,M,T,grid_sizes,time_window_size,variant,has_commits,agent_commit_count,commit_rate,first_commit_time,last_commit_time,final_psi,max_salience,source_emission_counts
2,2,2,0.8,1.0,0.3,1,500,"(64, 64)",10,B_rendering,True,45143,90.286,9.276190476190447,499.99999999944464,86.05961371527778,86.05961371527778,"[52500, 52500]"
2,2,2,0.8,1.0,0.3,1,200,"(64, 64)",10,B_rendering,True,13642,68.21,9.276190476190447,200.00000000006196,6.544156077551463,6.544156077551463,"[21000, 21000]"
2,2,2,0.8,1.0,0.3,1,500,"(64, 64)",10,B_rendering,True,45142,90.284,9.276190476190447,499.99999999944464,85.55238172743056,85.55238172743056,"[52500, 52500]"
2,2,4,0.8,1.0,0.3,1,200,"(64, 64)",10,B_rendering,True,17004,85.02,6.628571428571408,200.00000000006196,26.17326931423611,26.17326931423611,"[21000, 21000, 21000, 21000]"
2,2,4,0.8,1.0,0.3,1,500,"(64, 64)",10,B_rendering,True,48504,97.008,6.628571428571408,499.99999999944464,343.4208054315476,343.4208054315476,"[52500, 52500, 52500, 52500]"
2,2,4,0.8,1.0,0.3,1,200,"(64, 64)",10,B_rendering,True,17004,85.02,6.628571428571408,200.00000000006196,26.174166046626983,26.174166046626983,"[21000, 21000, 21000, 21000]"
2,2,4,0.8,1.0,0.3,1,500,"(64, 64)",10,B_rendering,True,48504,97.008,6.628571428571408,499.99999999944464,343.0117497519841,343.0117497519841,"[52500, 52500, 52500, 52500]"
2,2,1,1.2,1.0,0.1,1,200,"(64, 64)",10,B_rendering,True,16625,83.125,8.895238095238067,200.00000000006196,20.113356429811507,20.113356429811507,[21000]
2,2,1,1.2,1.0,0.1,1,500,"(64, 64)",10,B_rendering,True,48125,96.25,8.895238095238067,499.99999999944464,133.4016090029762,133.4016090029762,[52500]
2,2,1,1.2,1.0,0.1,1,200,"(64, 64)",10,B_rendering,True,16625,83.125,8.895238095238067,200.00000000006196,20.113356429811507,20.113356429811507,[21000]
2,2,1,1.2,1.0,0.1,1,500,"(64, 64)",10,B_rendering,True,48125,96.25,8.895238095238067,499.99999999944464,133.4016090029762,133.4016090029762,[52500]
2,2,2,1.2,1.0,0.1,1,200,"(64, 64)",10,B_rendering,True,18380,91.9,6.599999999999979,200.00000000006196,80.40821087549602,80.40821087549602,"[21000, 21000]"
2,2,2,1.2,1.0,0.1,1,500,"(64, 64)",10,B_rendering,True,49880,99.76,6.599999999999979,499.99999999944464,533.5029513888888,533.5029513888888,"[52500, 52500]"
2,2,2,1.2,1.0,0.1,1,200,"(64, 64)",10,B_rendering,True,18380,91.9,6.599999999999979,200.00000000006196,80.45507114955356,80.45507114955356,"[21000, 21000]"
2,2,2,1.2,1.0,0.1,1,500,"(64, 64)",10,B_rendering,True,49880,99.76,6.599999999999979,499.99999999944464,533.6856770833333,533.6856770833333,"[52500, 52500]"
2,2,4,1.2,1.0,0.1,1,200,"(64, 64)",10,B_rendering,True,19345,96.725,4.923809523809509,200.00000000006196,321.5694692460317,321.5694692460317,"[21000, 21000, 21000, 21000]"
2,2,4,1.2,1.0,0.1,1,500,"(64, 64)",10,B_rendering,True,50845,101.69,4.923809523809509,499.99999999944464,2133.7530505952377,2133.7530505952377,"[52500, 52500, 52500, 52500]"
2,2,4,1.2,1.0,0.1,1,200,"(64, 64)",10,B_rendering,True,19345,96.725,4.923809523809509,200.00000000006196,321.6597625248016,321.6597625248016,"[21000, 21000, 21000, 21000]"
2,2,4,1.2,1.0,0.1,1,500,"(64, 64)",10,B_rendering,True,50845,101.69,4.923809523809509,499.99999999944464,2133.994841269841,2133.994841269841,"[52500, 52500, 52500, 52500]"
2,2,1,1.2,1.0,0.2,1,200,"(64, 64)",10,B_rendering,True,14355,71.775,9.76190476190473,200.00000000006196,9.976921057322668,9.976921057322668,[21000]
2,2,1,1.2,1.0,0.2,1,500,"(64, 64)",10,B_rendering,True,45855,91.71,9.76190476190473,499.99999999944464,198.50426897321427,198.50426897321427,[52500]
2,2,1,1.2,1.0,0.2,1,200,"(64, 64)",10,B_rendering,True,14355,71.775,9.76190476190473,200.00000000006196,9.976921057322668,9.976921057322668,[21000]
2,2,1,1.2,1.0,0.2,1,500,"(64, 64)",10,B_rendering,True,45855,91.71,9.76190476190473,499.99999999944464,198.50426897321427,198.50426897321427,[52500]
2,2,2,1.2,1.0,0.2,1,200,"(64, 64)",10,B_rendering,True,17263,86.315,7.076190476190454,200.00000000006196,39.8920425657242,39.8920425657242,"[21000, 21000]"
2,2,2,1.2,1.0,0.2,1,500,"(64, 64)",10,B_rendering,True,48763,97.526,7.076190476190454,499.99999999944464,793.8429439484127,793.8429439484127,"[52500, 52500]"
2,2,2,1.2,1.0,0.2,1,200,"(64, 64)",10,B_rendering,True,17263,86.315,7.076190476190454,200.00000000006196,39.852301509796625,39.852301509796625,"[21000, 21000]"
2,2,2,1.2,1.0,0.2,1,500,"(64, 64)",10,B_rendering,True,48763,97.526,7.076190476190454,499.99999999944464,756.7939050099205,756.7939050099205,"[52500, 52500]"
2,2,4,1.2,1.0,0.2,1,200,"(64, 64)",10,B_rendering,True,18844,94.22,5.190476190476175,200.00000000006196,159.5711898561508,159.5711898561508,"[21000, 21000, 21000, 21000]"
2,2,4,1.2,1.0,0.2,1,500,"(64, 64)",10,B_rendering,True,50344,100.688,5.190476190476175,499.99999999944464,3195.6346726190473,3195.6346726190473,"[52500, 52500, 52500, 52500]"
2,2,4,1.2,1.0,0.2,1,200,"(64, 64)",10,B_rendering,True,18844,94.22,5.190476190476175,200.00000000006196,159.61233723958333,159.61233723958333,"[21000, 21000, 21000, 21000]"
2,2,4,1.2,1.0,0.2,1,500,"(64, 64)",10,B_rendering,True,50344,100.688,5.190476190476175,499.99999999944464,3162.683407738095,3162.683407738095,"[52500, 52500, 52500, 52500]"
2,2,1,1.2,1.0,0.3,1,200,"(64, 64)",10,B_rendering,True,11535,57.675,10.72380952380949,200.00000000006196,3.6776946294875374,3.6776946294875374,[21000]
2,2,1,1.2,1.0,0.3,1,500,"(64, 64)",10,B_rendering,True,43035,86.07,10.72380952380949,499.99999999944464,48.64402630518353,48.64402630518353,[52500]
2,2,1,1.2,1.0,0.3,1,200,"(64, 64)",10,B_rendering,True,11535,57.675,10.72380952380949,200.00000000006196,3.6776946294875374,3.6776946294875374,[21000]
2,2,1,1.2,1.0,0.3,1,500,"(64, 64)",10,B_rendering,True,43035,86.07,10.72380952380949,499.99999999944464,48.64402630518353,48.64402630518353,[52500]
2,2,2,1.2,1.0,0.3,1,200,"(64, 64)",10,B_rendering,True,15855,79.275,7.599999999999976,200.00000000006196,14.707969835069443,14.707969835069443,"[21000, 21000]"
2,2,2,1.2,1.0,0.3,1,500,"(64, 64)",10,B_rendering,True,47355,94.71,7.599999999999976,499.99999999944464,194.82762586805555,194.82762586805555,"[52500, 52500]"
2,2,2,1.2,1.0,0.3,1,200,"(64, 64)",10,B_rendering,True,15854,79.27,7.599999999999976,200.00000000006196,14.699798874627977,14.699798874627977,"[21000, 21000]"
2,2,2,1.2,1.0,0.3,1,500,"(64, 64)",10,B_rendering,True,47354,94.708,7.599999999999976,499.99999999944464,192.11134672619045,192.11134672619045,"[52500, 52500]"
2,2,4,1.2,1.0,0.3,1,200,"(64, 64)",10,B_rendering,True,18187,90.935,5.485714285714269,200.00000000006196,58.840001860119045,58.840001860119045,"[21000, 21000, 21000, 21000]"
2,2,4,1.2,1.0,0.3,1,500,"(64, 64)",10,B_rendering,True,49687,99.374,5.485714285714269,499.99999999944464,780.270628720238,780.270628720238,"[52500, 52500, 52500, 52500]"
2,2,4,1.2,1.0,0.3,1,200,"(64, 64)",10,B_rendering,True,18187,90.935,5.485714285714269,200.00000000006196,58.838099113343254,58.838099113343254,"[21000, 21000, 21000, 21000]"
2,2,4,1.2,1.0,0.3,1,500,"(64, 64)",10,B_rendering,True,49687,99.374,5.485714285714269,499.99999999944464,774.3190538194444,774.3190538194444,"[52500, 52500, 52500, 52500]"
2,2,1,1.6,1.0,0.1,1,200,"(64, 64)",10,B_rendering,True,17490,87.45,7.857142857142832,200.00000000006196,35.91001829117063,35.91001829117063,[21000]
2,2,1,1.6,1.0,0.1,1,500,"(64, 64)",10,B_rendering,True,48990,97.98,7.857142857142832,499.99999999944464,237.7846214657738,237.7846214657738,[52500]
2,2,1,1.6,1.0,0.1,1,200,"(64, 64)",10,B_rendering,True,17490,87.45,7.857142857142832,200.00000000006196,35.91001829117063,35.91001829117063,[21000]
2,2,1,1.6,1.0,0.1,1,500,"(64, 64)",10,B_rendering,True,48990,97.98,7.857142857142832,499.99999999944464,237.7846214657738,237.7846214657738,[52500]
2,2,2,1.6,1.0,0.1,1,200,"(64, 64)",10,B_rendering,True,18847,94.235,5.83809523809522,200.00000000006196,143.34396081349206,143.34396081349206,"[21000, 21000]"
2,2,2,1.6,1.0,0.1,1,500,"(64, 64)",10,B_rendering,True,50347,100.694,5.83809523809522,499.99999999944464,949.4735119047618,949.4735119047618,"[52500, 52500]"
2,2,2,1.6,1.0,0.1,1,200,"(64, 64)",10,B_rendering,True,18847,94.235,5.83809523809522,200.00000000006196,143.40773189484125,143.40773189484125,"[21000, 21000]"
2,2,2,1.6,1.0,0.1,1,500,"(64, 64)",10,B_rendering,True,50347,100.694,5.83809523809522,499.99999999944464,951.4011532738095,951.4011532738095,"[52500, 52500]"
2,2,4,1.6,1.0,0.1,1,200,"(64, 64)",10,B_rendering,True,19615,98.075,4.371428571428559,200.00000000006196,573.4133494543651,573.4133494543651,"[21000, 21000, 21000, 21000]"
2,2,4,1.6,1.0,0.1,1,500,"(64, 64)",10,B_rendering,True,51115,102.23,4.371428571428559,499.99999999944464,3800.073958333333,3800.073958333333,"[52500, 52500, 52500, 52500]"
2,2,4,1.6,1.0,0.1,1,200,"(64, 64)",10,B_rendering,True,19615,98.075,4.371428571428559,200.00000000006196,573.9170572916667,573.9170572916667,"[21000, 21000, 21000, 21000]"
2,2,4,1.6,1.0,0.1,1,500,"(64, 64)",10,B_rendering,True,51115,102.23,4.371428571428559,499.99999999944464,3800.2095734126983,3800.2095734126983,"[52500, 52500, 52500, 52500]"
2,2,1,1.6,1.0,0.2,1,200,"(64, 64)",10,B_rendering,True,15773,78.865,8.523809523809497,200.00000000006196,17.520260571676587,17.520260571676587,[21000]
