spatial_dimension,total_dimension,num_sources,alpha_0,alpha_1,gamma,M,T,grid_sizes,time_window_size,variant,has_commits,agent_commit_count,commit_rate,first_commit_time,last_commit_time,final_psi,max_salience,source_emission_counts
3,3,1,0.8,1.0,0.1,1,200,"(48, 48, 48)",10,B_rendering,True,1316,6.58,21.600000000000577,199.95999999996312,0.6779743509089695,0.16950748727676718,[20000]
3,3,1,0.8,1.0,0.1,1,500,"(48, 48, 48)",10,B_rendering,True,8126,16.252,21.600000000000577,499.99999999969026,1.2156053827164022,0.3039207478787037,[50000]
3,3,1,0.8,1.0,0.1,1,200,"(48, 48, 48)",10,B_rendering,True,1316,6.58,21.600000000000577,199.95999999996312,0.6779743509089695,0.16950748727676718,[20000]
3,3,1,0.8,1.0,0.1,1,500,"(48, 48, 48)",10,B_rendering,True,8126,16.252,21.600000000000577,499.99999999969026,1.2156053827164022,0.3039207478787037,[50000]
3,3,2,0.8,1.0,0.1,1,200,"(48, 48, 48)",10,B_rendering,True,4720,23.6,15.529999999999713,199.9899999999631,0.6780219869410739,0.6780219869410739,"[20000, 20000]"
3,3,2,0.8,1.0,0.1,1,500,"(48, 48, 48)",10,B_rendering,True,29069,58.138,15.529999999999713,499.99999999969026,1.2231812659730303,1.2233613196839679,"[50000, 50000]"
3,3,2,0.8,1.0,0.1,1,200,"(48, 48, 48)",10,B_rendering,True,4721,23.605,15.529999999999713,199.99999999996308,1.3555243431253639,0.6777805855933657,"[20000, 20000]"
3,3,2,0.8,1.0,0.1,1,500,"(48, 48, 48)",10,B_rendering,True,29067,58.134,15.529999999999713,499.99999999969026,1.2440694687214306,1.2442330705358629,"[50000, 50000]"
3,3,4,0.8,1.0,0.1,1,200,"(48, 48, 48)",10,B_rendering,True,12593,62.965,11.329999999999803,199.99999999996308,2.711770337693235,2.711770337693235,"[20000, 20000, 20000, 20000]"
3,3,4,0.8,1.0,0.1,1,500,"(48, 48, 48)",10,B_rendering,True,42593,85.186,11.329999999999803,499.99999999969026,4.911934807960024,4.912503765999004,"[50000, 50000, 50000, 50000]"
3,3,4,0.8,1.0,0.1,1,200,"(48, 48, 48)",10,B_rendering,True,12596,62.98,11.329999999999803,199.99999999996308,2.71297212965945,2.71297212965945,"[20000, 20000, 20000, 20000]"
3,3,4,0.8,1.0,0.1,1,500,"(48, 48, 48)",10,B_rendering,True,42596,85.192,11.329999999999803,499.99999999969026,4.87351986499543,4.873929904369598,"[50000, 50000, 50000, 50000]"
3,3,1,0.8,1.0,0.2,1,200,"(48, 48, 48)",10,B_rendering,True,728,3.64,26.250000000001304,199.99999999996308,1.0520601232001123,0.1169435521389576,[20000]
3,3,1,0.8,1.0,0.2,1,500,"(48, 48, 48)",10,B_rendering,True,10297,20.594,26.250000000001304,499.99999999969026,1.5169832919506319,0.7585072618849735,[50000]
3,3,1,0.8,1.0,0.2,1,200,"(48, 48, 48)",10,B_rendering,True,728,3.64,26.250000000001304,199.99999999996308,1.0520601232001123,0.1169435521389576,[20000]
3,3,1,0.8,1.0,0.2,1,500,"(48, 48, 48)",10,B_rendering,True,10297,20.594,26.250000000001304,499.99999999969026,1.5169832919506319,0.7585072618849735,[50000]
3,3,2,0.8,1.0,0.2,1,200,"(48, 48, 48)",10,B_rendering,True,2644,13.22,18.080000000000027,199.9899999999631,0.46749411238000754,0.46749411238000754,"[20000, 20000]"
3,3,2,0.8,1.0,0.2,1,500,"(48, 48, 48)",10,B_rendering,True,27943,55.886,18.080000000000027,499.99999999969026,3.034332502649186,3.034332502649186,"[50000, 50000]"
3,3,2,0.8,1.0,0.2,1,200,"(48, 48, 48)",10,B_rendering,True,2645,13.225,18.080000000000027,199.9799999999631,0.9355041990888882,0.4677760915553317,"[20000, 20000]"
3,3,2,0.8,1.0,0.2,1,500,"(48, 48, 48)",10,B_rendering,True,27949,55.898,18.080000000000027,499.99999999969026,3.038624475357381,3.038624475357381,"[50000, 50000]"
3,3,4,0.8,1.0,0.2,1,200,"(48, 48, 48)",10,B_rendering,True,8715,43.575,12.719999999999773,199.99999999996308,1.8695003590685257,1.8695003590685257,"[20000, 20000, 20000, 20000]"
