spatial_dimension,total_dimension,num_sources,alpha_0,alpha_1,gamma,M,T,grid_sizes,time_window_size,variant,has_commits,agent_commit_count,commit_rate,first_commit_time,last_commit_time,final_psi,max_salience,source_emission_counts
2,3,1,0.8,1.0,0.1,1,200,"(64, 64)",10,A_physics,True,18325,91.625,6.647619047619027,200.00000000006196,75.75343720910966,75.75343720910966,[21000]
2,3,1,0.8,1.0,0.1,1,500,"(64, 64)",10,A_physics,True,49825,99.65,6.647619047619027,499.99999999944464,501.4757350950483,501.4757350950483,[52500]
2,3,1,0.8,1.0,0.1,1,200,"(64, 64)",10,A_physics,True,18325,91.625,6.647619047619027,200.00000000006196,75.75343720910966,75.75343720910966,[21000]
2,3,1,0.8,1.0,0.1,1,500,"(64, 64)",10,A_physics,True,49825,99.65,6.647619047619027,499.99999999944464,501.4757350950483,501.4757350950483,[52500]
2,3,2,0.8,1.0,0.1,1,200,"(64, 64)",10,A_physics,True,19315,96.575,4.9523809523809375,200.00000000006196,302.38883572669016,302.38883572669016,"[21000, 21000]"
2,3,2,0.8,1.0,0.1,1,500,"(64, 64)",10,A_physics,True,50815,101.63,4.9523809523809375,499.99999999944464,2002.3924029325015,2002.3924029325015,"[52500, 52500]"
2,3,2,0.8,1.0,0.1,1,200,"(64, 64)",10,A_physics,True,19315,96.575,4.9523809523809375,200.00000000006196,302.52334148159815,302.52334148159815,"[21000, 21000]"
2,3,2,0.8,1.0,0.1,1,500,"(64, 64)",10,A_physics,True,50815,101.63,4.9523809523809375,499.99999999944464,2006.4574889902417,2006.4574889902417,"[52500, 52500]"
2,3,4,0.8,1.0,0.1,1,200,"(64, 64)",10,A_physics,True,19898,99.49,3.704761904761894,200.00000000006196,1209.634519311477,1209.634519311477,"[21000, 21000, 21000, 21000]"
2,3,4,0.8,1.0,0.1,1,500,"(64, 64)",10,A_physics,True,51398,102.796,3.704761904761894,499.99999999944464,8014.164980973892,8014.164980973892,"[52500, 52500, 52500, 52500]"
2,3,4,0.8,1.0,0.1,1,200,"(64, 64)",10,A_physics,True,19898,99.49,3.704761904761894,200.00000000006196,1210.6969683459681,1210.6969683459681,"[21000, 21000, 21000, 21000]"
