spatial_dimension,total_dimension,num_sources,alpha_0,alpha_1,gamma,M,T,grid_sizes,time_window_size,variant,has_commits,agent_commit_count,commit_rate,first_commit_time,last_commit_time,final_psi,max_salience,source_emission_counts
3,4,2,0.8,1.0,0.3,1,500,"(48, 48, 48)",10,A_physics,True,38423,76.846,11.749999999999794,499.99999999969026,11.177732731745177,11.177732731745177,"[50000, 50000]"
3,4,2,0.8,1.0,0.3,1,200,"(48, 48, 48)",10,A_physics,True,8425,42.125,11.749999999999794,199.99999999996308,1.7490413779894909,1.7490413779894909,"[20000, 20000]"
3,4,2,0.8,1.0,0.3,1,500,"(48, 48, 48)",10,A_physics,True,38425,76.85,11.749999999999794,499.99999999969026,11.174985485606005,11.174985485606005,"[50000, 50000]"
3,4,4,0.8,1.0,0.3,1,200,"(48, 48, 48)",10,A_physics,True,14049,70.245,8.269999999999868,199.99999999996308,6.995337037143782,6.995337037143782,"[20000, 20000, 20000, 20000]"
3,4,4,0.8,1.0,0.3,1,500,"(48, 48, 48)",10,A_physics,True,44049,88.098,8.269999999999868,499.99999999969026,44.721433901652894,44.721433901652894,"[50000, 50000, 50000, 50000]"
3,4,4,0.8,1.0,0.3,1,200,"(48, 48, 48)",10,A_physics,True,14049,70.245,8.269999999999868,199.99999999996308,6.996073578672289,6.996073578672289,"[20000, 20000, 20000, 20000]"
3,4,4,0.8,1.0,0.3,1,500,"(48, 48, 48)",10,A_physics,True,44049,88.098,8.269999999999868,499.99999999969026,44.71417386019235,44.71417386019235,"[50000, 50000, 50000, 50000]"
3,4,1,1.2,1.0,0.1,1,200,"(48, 48, 48)",10,A_physics,True,13182,65.91,10.909999999999812,199.99999999996308,3.1593978434451078,3.1593978434451078,[20000]
3,4,1,1.2,1.0,0.1,1,500,"(48, 48, 48)",10,A_physics,True,43182,86.364,10.909999999999812,499.99999999969026,5.529703264379178,5.5305527064339515,[50000]
3,4,1,1.2,1.0,0.1,1,200,"(48, 48, 48)",10,A_physics,True,13182,65.91,10.909999999999812,199.99999999996308,3.1593978434451078,3.1593978434451078,[20000]
3,4,1,1.2,1.0,0.1,1,500,"(48, 48, 48)",10,A_physics,True,43182,86.364,10.909999999999812,499.99999999969026,5.529703264379178,5.5305527064339515,[50000]
3,4,2,1.2,1.0,0.1,1,200,"(48, 48, 48)",10,A_physics,True,16409,82.045,8.039999999999873,199.99999999996308,12.65245015828032,12.65245015828032,"[20000, 20000]"
3,4,2,1.2,1.0,0.1,1,500,"(48, 48, 48)",10,A_physics,True,46409,92.818,8.039999999999873,499.99999999969026,22.452534110245697,22.45664368940183,"[50000, 50000]"
3,4,2,1.2,1.0,0.1,1,200,"(48, 48, 48)",10,A_physics,True,16409,82.045,8.039999999999873,199.99999999996308,12.617518735453205,12.617518735453205,"[20000, 20000]"
3,4,2,1.2,1.0,0.1,1,500,"(48, 48, 48)",10,A_physics,True,46409,92.818,8.039999999999873,499.99999999969026,23.3053954381003,23.3053954381003,"[50000, 50000]"
3,4,4,1.2,1.0,0.1,1,200,"(48, 48, 48)",10,A_physics,True,17867,89.335,5.959999999999917,199.99999999996308,50.61753378154904,50.61753378154904,"[20000, 20000, 20000, 20000]"
3,4,4,1.2,1.0,0.1,1,500,"(48, 48, 48)",10,A_physics,True,47867,95.734,5.959999999999917,499.99999999969026,90.91680245285882,90.93542566347739,"[50000, 50000, 50000, 50000]"
3,4,4,1.2,1.0,0.1,1,200,"(48, 48, 48)",10,A_physics,True,17867,89.335,5.959999999999917,199.99999999996308,50.68514076716414,50.68514076716414,"[20000, 20000, 20000, 20000]"
