tick,planet_dist,velocity,star_radius,total_length,px,py,pz,planet_density
3300,7.1902,0.074185,7.0084,22018296679288096686080.00,1.0066,-1.4431,8.3840,2.3088
3350,11.7785,0.119934,7.0527,29708221432243783991296.00,5.1808,-4.4421,11.4730,2.7939
3400,16.9893,0.104473,7.0152,40083866860316394520576.00,9.3977,-4.3446,14.5544,2.0744
3450,14.8174,0.082115,7.0160,54083226809467320401920.00,7.5424,-0.6850,14.4041,48.9558
3500,14.9592,0.000000,7.1484,72971891171146122395648.00,7.5424,-0.6850,14.4041,45.5696
3550,14.9481,0.000000,7.1095,98457460607937010466816.00,7.5424,-0.6850,14.4041,28.9902
3600,15.0295,0.000000,7.1336,132843918615911151435776.00,7.5424,-0.6850,14.4041,16.0519
3650,14.9695,0.000000,6.9186,179239921286464715882496.00,7.5424,-0.6850,14.4041,10.4591
3700,14.9375,0.000000,7.4884,241839829201996570689536.00,7.5424,-0.6850,14.4041,50.2881
3750,15.0692,0.000000,7.1343,326302894931547319697408.00,7.5424,-0.6850,14.4041,40.3366
3800,15.2077,0.000000,7.5036,440264877098334582472704.00,7.5424,-0.6850,14.4041,24.5085
3850,14.8583,0.000000,7.3544,594028344019920781049856.00,7.5424,-0.6850,14.4041,13.2701
3900,15.1099,0.000000,7.2309,801494058850898610749440.00,7.5424,-0.6850,14.4041,10.2607
3950,14.7062,0.000000,7.0519,1081417664440533212200960.00,7.5424,-0.6850,14.4041,7.0073
4000,15.3041,0.000000,7.3167,1459105254812827143634944.00,7.5424,-0.6850,14.4041,5.0332
4050,14.2250,0.040413,7.1161,1968701146713019264270336.00,5.8413,0.2887,14.8949,38.1455
4100,14.5515,0.000000,7.2249,2656274639675429501272064.00,5.8413,0.2887,14.8949,35.5931
4150,14.4444,0.000000,7.1166,3583984862264385333100544.00,5.8413,0.2887,14.8949,22.6587
4200,14.4943,0.000000,7.3553,4835700167847944743026688.00,5.8413,0.2887,14.8949,12.5502
4250,14.3150,0.000000,7.1103,6524580161669014893887488.00,5.8413,0.2887,14.8949,6.4632
4300,14.3930,0.000000,7.2359,8803305717665687618453504.00,5.8413,0.2887,14.8949,4.3962
4350,14.2433,0.000000,7.1398,11877881922376212976500736.00,5.8413,0.2887,14.8949,36.7117
4400,14.5987,0.000000,7.1432,16026261650182595346956288.00,5.8413,0.2887,14.8949,29.9817
4450,14.3012,0.000000,6.8505,21623473576120284807692288.00,5.8413,0.2887,14.8949,18.3274
4500,14.5745,0.000000,7.1582,29175526083287287003611136.00,5.8413,0.2887,14.8949,9.9535
4550,14.6132,0.000000,7.3636,39365152363960642551414784.00,5.8413,0.2887,14.8949,5.0668
4600,16.6587,0.117015,7.4086,53113531914473571235135488.00,9.3977,-4.3446,14.5544,15.2185
4650,16.3473,0.000000,7.0497,71663568683678397687136256.00,9.3977,-4.3446,14.5544,28.5334
4700,16.6756,0.000000,7.2817,96692254016485792843563008.00,9.3977,-4.3446,14.5544,20.7105
4750,16.1489,0.000000,6.9569,130462273058535606625239040.00,9.3977,-4.3446,14.5544,12.1340
4800,16.8387,0.000000,6.8462,176026559601024555844370432.00,9.3977,-4.3446,14.5544,6.4473
4850,16.4606,0.000000,6.6222,237504292884403691433492480.00,9.3977,-4.3446,14.5544,16.7988
4900,16.4849,0.000000,7.2667,320453286238652292195680256.00,9.3977,-4.3446,14.5544,23.7662
4950,17.0544,0.000000,6.9936,432372434445313097125068800.00,9.3977,-4.3446,14.5544,16.5669
5000,16.6250,0.000000,6.5633,583379640956933914648117248.00,9.3977,-4.3446,14.5544,9.5503
5050,16.6493,0.000000,6.7356,787126514571834421359411200.00,9.3977,-4.3446,14.5544,5.0303
5100,14.9895,0.117015,7.0750,1062032524450661639718436864.00,5.8413,0.2887,14.8949,3.1790
5150,14.6154,0.000000,7.3392,1432950189527137591303864320.00,5.8413,0.2887,14.8949,4.2789
