num_sources,geometry,alpha_0,T,gamma,M,has_commits,agent_commit_count,commit_rate,first_commit_time,final_psi,max_salience
2,asymmetric,1.0,100.0,0.001,1,True,1,0.01,97.09999999998418,0.1075481014876628,0.05485366758897879
2,asymmetric,1.2,100.0,0.001,1,True,1,0.01,91.09999999998963,0.549867969760182,0.07898928132833663
2,asymmetric,1.4,100.0,0.001,1,True,2,0.02,85.09999999999509,0.10751318847497712,0.10751318847497712
2,asymmetric,1.6,100.0,0.001,1,True,2,0.02,81.09999999999873,0.7628524133473102,0.14042538902801585
2,asymmetric,1.8,100.0,0.001,1,True,3,0.03,77.09500000000237,0.34845584882069414,0.1777258829886492
2,asymmetric,2.0,100.0,0.001,1,True,4,0.04,74.0950000000051,0.21941467035591516,0.21941467035591516
2,asymmetric,1.0,200.0,0.001,1,True,28,0.14,97.09999999998418,0.0,0.847685176021655
2,asymmetric,1.2,200.0,0.001,1,True,39,0.195,91.09999999998963,0.0,1.2206666534701103
2,asymmetric,1.4,200.0,0.001,1,True,51,0.255,85.09999999999509,0.0,1.6614629450243865
2,asymmetric,1.6,200.0,0.001,1,True,61,0.305,81.09999999999873,0.0,2.1700740506113876
2,asymmetric,1.8,200.0,0.001,1,True,69,0.345,77.09500000000237,0.0,2.7464999703608566
2,asymmetric,2.0,200.0,0.001,1,True,76,0.38,74.0950000000051,0.0,3.39074070408662
2,asymmetric,1.0,500.0,0.001,1,True,323,0.646,97.09999999998418,0.0,27.919372885214216
2,asymmetric,1.2,500.0,0.001,1,True,339,0.678,91.09999999998963,0.0,40.20389695614661
2,asymmetric,1.4,500.0,0.001,1,True,351,0.702,85.09999999999509,0.0,54.72197085864642
2,asymmetric,1.6,500.0,0.001,1,True,361,0.722,81.09999999999873,0.0,71.47359459073648
2,asymmetric,1.8,500.0,0.001,1,True,369,0.738,77.09500000000237,0.0,90.4587681564684
2,asymmetric,2.0,500.0,0.001,1,True,376,0.752,74.0950000000051,0.0,111.67749154085686
4,symmetric,1.0,100.0,0.001,1,True,4,0.04,74.0950000000051,0.21941349426000806,0.21941349426000806
4,symmetric,1.2,100.0,0.001,1,True,5,0.05,69.09500000000965,0.9109217104698519,0.315955431732509
4,symmetric,1.4,100.0,0.001,1,True,7,0.07,64.0950000000142,0.8431725148739306,0.4300504487476367
4,symmetric,1.6,100.0,0.001,1,True,10,0.1,61.0950000000128,0.0,0.5616985453021863
4,symmetric,1.8,100.0,0.001,1,True,12,0.12,58.09500000001127,0.0,0.7108997214040895
4,symmetric,2.0,100.0,0.001,1,True,14,0.14,56.095000000010245,0.0,0.8776539770400322
4,symmetric,1.0,200.0,0.001,1,True,76,0.38,74.0950000000051,0.0,3.3907407001644105
4,symmetric,1.2,200.0,0.001,1,True,87,0.435,69.09500000000965,0.0,4.882666608222864
4,symmetric,1.4,200.0,0.001,1,True,95,0.475,64.0950000000142,0.0,6.645851772306472
4,symmetric,1.6,200.0,0.001,1,True,102,0.51,61.0950000000128,0.0,8.680296192341311
4,symmetric,1.8,200.0,0.001,1,True,107,0.535,58.09500000001127,0.0,10.985999868702411
4,symmetric,2.0,200.0,0.001,1,True,112,0.56,56.095000000010245,0.0,13.562962800657642
4,symmetric,1.0,500.0,0.001,1,True,376,0.752,74.0950000000051,0.0,111.67749058072722
4,symmetric,1.2,500.0,0.001,1,True,387,0.774,69.09500000000965,0.0,160.8155864326122
4,symmetric,1.4,500.0,0.001,1,True,395,0.79,64.0950000000142,0.0,218.88788152898658
4,symmetric,1.6,500.0,0.001,1,True,402,0.804,61.0950000000128,0.0,285.89437587698825
4,symmetric,1.8,500.0,0.001,1,True,407,0.814,58.09500000001127,0.0,361.8350694827628
4,symmetric,2.0,500.0,0.001,1,True,412,0.824,56.095000000010245,0.0,446.7099623229089
