run_id,dimension,num_sources,geometry,phase_offset,alpha_0,gamma,M,T,has_commits,agent_commit_count,commit_rate,first_commit_time,final_psi,max_salience
0,5,1,symmetric,0,0.6,0.001,1,100.0,True,5185,51.85,13.83999999999975,9.393319023980032,9.393319023980032
1,5,1,symmetric,0,0.8,0.001,1,100.0,True,5835,58.35,12.329999999999782,16.699976603190102,16.699976603190102
2,5,1,symmetric,0,1.0,0.001,1,100.0,True,6277,62.77,11.279999999999804,26.096262613932286,26.096262613932286
3,5,1,symmetric,0,1.2,0.001,1,100.0,True,6604,66.04,10.479999999999821,37.57327609592013,37.57327609592013
4,5,1,symmetric,0,1.4,0.001,1,100.0,True,6857,68.57,9.849999999999834,51.11596679687499,51.11596679687499
5,5,1,symmetric,0,1.6,0.001,1,100.0,True,7061,70.61,9.339999999999845,66.79990641276041,66.79990641276041
6,5,1,symmetric,0,1.8,0.001,1,100.0,True,7229,72.29,8.909999999999854,84.53601752387151,84.53601752387151
7,5,1,symmetric,0,2.0,0.001,1,100.0,True,7373,73.73,8.539999999999862,104.38505045572914,104.38505045572914
8,5,1,symmetric,0,2.2,0.001,1,100.0,True,7495,74.95,8.21999999999987,126.24605305989581,126.24605305989581
9,5,1,symmetric,0,2.4,0.001,1,100.0,True,7602,76.02,7.939999999999875,150.29310438368051,150.29310438368051
10,5,1,symmetric,0,2.6,0.001,1,100.0,True,7697,76.97,7.6899999999998805,176.32093641493051,176.32093641493051
11,5,1,symmetric,0,0.6,0.005,1,100.0,True,5315,53.15,13.889999999999748,18.221281263563366,18.221281263563366
12,5,1,symmetric,0,0.8,0.005,1,100.0,True,5907,59.07,12.36999999999978,32.33241441514756,32.33241441514756
13,5,1,symmetric,0,1.0,0.005,1,100.0,True,6321,63.21,11.309999999999803,50.48416476779513,50.48416476779513
14,5,1,symmetric,0,1.2,0.005,1,100.0,True,6630,66.3,10.51999999999982,72.88512505425346,72.88512505425346
15,5,1,symmetric,0,1.4,0.005,1,100.0,True,6874,68.74,9.879999999999834,98.97546386718749,98.97546386718749
16,5,1,symmetric,0,1.6,0.005,1,100.0,True,7071,70.71,9.369999999999845,129.32965766059024,129.32965766059024
17,5,1,symmetric,0,1.8,0.005,1,100.0,True,7235,72.35,8.939999999999854,163.56342230902774,163.56342230902774
18,5,1,symmetric,0,2.0,0.005,1,100.0,True,7375,73.75,8.559999999999862,201.93665907118051,201.93665907118051
19,5,1,symmetric,0,2.2,0.005,1,100.0,True,7495,74.95,8.239999999999869,244.83566623263886,244.83566623263886
20,5,1,symmetric,0,2.4,0.005,1,100.0,True,7601,76.01,7.959999999999875,291.54050021701386,291.54050021701386
21,5,1,symmetric,0,2.6,0.005,1,100.0,True,7694,76.94,7.70999999999988,341.44485134548603,341.44485134548603
22,5,1,symmetric,0,0.6,0.001,1,200.0,True,15185,75.925,13.83999999999975,141.94357638888886,141.94357638888886
