dimension,num_sources,geometry,phase_offset,alpha_0,gamma,M,T,has_commits,agent_commit_count,commit_rate,first_commit_time,final_psi,max_salience
3,1,symmetric,0,0.6,0.001,1,100.0,True,2504,25.04,19.670000000000275,1.6269164389752329,1.6269164389752329
3,1,symmetric,0,0.8,0.001,1,100.0,True,3517,35.17,17.52999999999994,2.8900133498171545,2.8900133498171545
3,1,symmetric,0,1.0,0.001,1,100.0,True,4209,42.09,16.029999999999706,4.522371008041058,4.522371008041058
3,1,symmetric,0,1.2,0.001,1,100.0,True,4718,47.18,14.899999999999727,6.507665755900931,6.507665755900931
3,1,symmetric,0,1.4,0.001,1,100.0,True,5113,51.13,14.009999999999746,8.837831537774269,8.837831537774269
3,1,symmetric,0,1.6,0.001,1,100.0,True,5431,54.31,13.279999999999761,11.560053399268618,11.560053399268618
3,1,symmetric,0,1.8,0.001,1,100.0,True,5694,56.94,12.659999999999775,14.642489818816491,14.642489818816491
3,1,symmetric,0,2.0,0.001,1,100.0,True,5917,59.17,12.139999999999786,18.089484032164233,18.089484032164233
3,1,symmetric,0,2.2,0.001,1,100.0,True,6108,61.08,11.689999999999795,21.880703540558514,21.880703540558514
3,1,symmetric,0,2.4,0.001,1,100.0,True,6275,62.75,11.279999999999804,26.030663023603726,26.030663023603726
3,1,symmetric,0,2.6,0.001,1,100.0,True,6422,64.22,10.929999999999811,30.451013443317823,30.451013443317823
3,1,symmetric,0,0.6,0.005,1,100.0,True,3077,30.77,19.730000000000285,3.150737031977228,3.150737031977228
3,1,symmetric,0,0.8,0.005,1,100.0,True,3885,38.85,17.58999999999995,5.609508108585439,5.609508108585439
3,1,symmetric,0,1.0,0.005,1,100.0,True,4463,44.63,16.079999999999714,8.754636074634309,8.754636074634309
3,1,symmetric,0,1.2,0.005,1,100.0,True,4902,49.02,14.949999999999726,12.602948127908912,12.602948127908912
3,1,symmetric,0,1.4,0.005,1,100.0,True,5251,52.51,14.049999999999745,17.219447359125667,17.219447359125667
3,1,symmetric,0,1.6,0.005,1,100.0,True,5537,55.37,13.31999999999976,22.438032434341757,22.438032434341757
