dimension,n_runs,CV,rho,SLF,GPN_geom,GPN_phase,GPN,SPBI,verdict,mean_max_salience,std_max_salience
1,792,2.3694517461428393,0.4029906140454497,0.5970093859545502,0.8999659688057726,1.0,0.9499829844028863,3.9688685000393336,TOO_UNSTABLE,0.2940435313780162,0.6967219588656473
2,792,3.742695894188517,0.24672199998898678,0.7532780000110132,0.9778232731702627,1.0,0.9889116365851314,4.968545336693488,TOO_UNSTABLE,7861.997530804266,29425.065878661382
3,792,2.2292824032057736,0.0012573699451130698,0.998742630054887,0.9999960719775377,1.0,0.9999980359887688,2.2320889647849125,TOO_UNSTABLE,3933737.8432279583,8769412.55273272
4,787,2.226049401277378,0.0014648916087618077,0.9985351083912382,0.9770542996934515,0.9924455297669748,0.9847499147302131,2.229315106269839,TOO_UNSTABLE,7280752.571845714,16207314.903405884
5,792,2.227444705440759,0.001541895444703234,0.9984581045552967,0.9999966796357628,1.0,0.9999983398178813,2.230884496082928,TOO_UNSTABLE,18588171.362415347,41404123.8850376
