d,Ms,geom,phi,gamma,T,n,alpha_min,alpha_max,rate_mean,rate_std,fct_mean,sal_max
1,1,symm,0,0.001,100,11,0.6,2.6,1.591818181818182,1.3743712612086896,5.958831558832376,0.004261472450503282
1,1,symm,0,0.001,200,11,0.6,2.6,1.5454545454545454,1.2441632821809496,5.958831558832376,0.004261472450503282
1,1,symm,0,0.001,500,11,0.6,2.6,1.6954545454545453,1.404764205383691,5.958831558832376,0.004261472450503282
1,1,symm,0,0.005,100,11,0.6,2.6,50.38090909090909,47.92143538220562,5.7916461916469695,0.05649538445444508
1,1,symm,0,0.005,200,11,0.6,2.6,56.20681818181818,53.09715808179979,5.7916461916469695,0.05649538445444508
1,1,symm,0,0.005,500,11,0.6,2.6,60.149454545454546,56.324997470685496,5.7916461916469695,0.05649538445444508
1,1,symm,1,0.001,100,11,0.6,2.6,1.591818181818182,1.3743712612086896,5.958831558832376,0.004261472450503282
1,1,symm,1,0.001,200,11,0.6,2.6,1.5454545454545454,1.2441632821809496,5.958831558832376,0.004261472450503282
1,1,symm,1,0.001,500,11,0.6,2.6,1.6954545454545453,1.404764205383691,5.958831558832376,0.004261472450503282
1,1,symm,1,0.005,100,11,0.6,2.6,50.38090909090909,47.92143538220562,5.7916461916469695,0.05649538445444508
1,1,symm,1,0.005,200,11,0.6,2.6,56.20681818181818,53.09715808179979,5.7916461916469695,0.05649538445444508
1,1,symm,1,0.005,500,11,0.6,2.6,60.149454545454546,56.324997470685496,5.7916461916469695,0.05649538445444508
1,1,clus,0,0.001,100,11,0.6,2.6,1.591818181818182,1.3743712612086896,5.958831558832376,0.004261472450503282
1,1,clus,0,0.001,200,11,0.6,2.6,1.5454545454545454,1.2441632821809496,5.958831558832376,0.004261472450503282
1,1,clus,0,0.001,500,11,0.6,2.6,1.6954545454545453,1.404764205383691,5.958831558832376,0.004261472450503282
1,1,clus,0,0.005,100,11,0.6,2.6,50.38090909090909,47.92143538220562,5.7916461916469695,0.05649538445444508
1,1,clus,0,0.005,200,11,0.6,2.6,56.20681818181818,53.09715808179979,5.7916461916469695,0.05649538445444508
1,1,clus,0,0.005,500,11,0.6,2.6,60.149454545454546,56.324997470685496,5.7916461916469695,0.05649538445444508
1,1,clus,1,0.001,100,11,0.6,2.6,1.591818181818182,1.3743712612086896,5.958831558832376,0.004261472450503282
1,1,clus,1,0.001,200,11,0.6,2.6,1.5454545454545454,1.2441632821809496,5.958831558832376,0.004261472450503282
1,1,clus,1,0.001,500,11,0.6,2.6,1.6954545454545453,1.404764205383691,5.958831558832376,0.004261472450503282
1,1,clus,1,0.005,100,11,0.6,2.6,50.38090909090909,47.92143538220562,5.7916461916469695,0.05649538445444508
1,1,clus,1,0.005,200,11,0.6,2.6,56.20681818181818,53.09715808179979,5.7916461916469695,0.05649538445444508
1,1,clus,1,0.005,500,11,0.6,2.6,60.149454545454546,56.324997470685496,5.7916461916469695,0.05649538445444508
1,2,symm,0,0.001,100,11,0.6,2.6,6.403636363636363,5.2886600812063405,4.439093639094097,0.017047263415433146
1,2,symm,0,0.001,200,11,0.6,2.6,6.383636363636364,4.739046365519697,4.439093639094097,0.017047263415433146
1,2,symm,0,0.001,500,11,0.6,2.6,6.420545454545455,5.19990985236545,4.439093639094097,0.017047263415433146
1,2,symm,0,0.005,100,11,0.6,2.6,199.77545454545455,238.37009625217829,4.372481572482015,0.28171659989096204
1,2,symm,0,0.005,200,11,0.6,2.6,227.34863636363636,267.35440621103396,4.372481572482015,0.28171659989096204
1,2,symm,0,0.005,500,11,0.6,2.6,244.6252727272727,285.02902910303396,4.372481572482015,0.28171659989096204
1,2,symm,1,0.001,100,11,0.6,2.6,6.403636363636363,5.2886600812063405,4.439093639094097,0.017047263415433146
1,2,symm,1,0.001,200,11,0.6,2.6,6.383636363636364,4.739046365519697,4.439093639094097,0.017047263415433146
1,2,symm,1,0.001,500,11,0.6,2.6,6.420545454545455,5.19990985236545,4.439093639094097,0.017047263415433146
1,2,symm,1,0.005,100,11,0.6,2.6,199.77545454545455,238.37009625217829,4.372481572482015,0.28171659989096204
1,2,symm,1,0.005,200,11,0.6,2.6,227.34863636363636,267.35440621103396,4.372481572482015,0.28171659989096204
1,2,symm,1,0.005,500,11,0.6,2.6,244.6252727272727,285.02902910303396,4.372481572482015,0.28171659989096204
1,2,clus,0,0.001,100,11,0.6,2.6,7.877272727272728,9.886820612218155,4.439093639094097,0.017048662999099528
1,2,clus,0,0.001,200,11,0.6,2.6,8.963181818181818,12.764277353757102,4.439093639094097,0.017048662999099528
1,2,clus,0,0.001,500,11,0.6,2.6,10.491818181818182,16.108754749006405,4.439093639094097,0.017048662999099528
1,2,clus,0,0.005,100,11,0.6,2.6,156.0681818181818,141.4409846415233,4.372536172536615,0.34257076908062617
1,2,clus,0,0.005,200,11,0.6,2.6,188.3440909090909,140.96783797764266,4.372536172536615,0.34257076908062617
1,2,clus,0,0.005,500,11,0.6,2.6,204.15654545454544,145.7730327875246,4.372536172536615,0.34257076908062617
1,2,clus,1,0.001,100,11,0.6,2.6,7.877272727272728,9.886820612218155,4.439093639094097,0.017048662999099528
1,2,clus,1,0.001,200,11,0.6,2.6,8.963181818181818,12.764277353757102,4.439093639094097,0.017048662999099528
1,2,clus,1,0.001,500,11,0.6,2.6,10.491818181818182,16.108754749006405,4.439093639094097,0.017048662999099528
1,2,clus,1,0.005,100,11,0.6,2.6,156.0681818181818,141.4409846415233,4.372536172536615,0.34257076908062617
1,2,clus,1,0.005,200,11,0.6,2.6,188.3440909090909,140.96783797764266,4.372536172536615,0.34257076908062617
