dimension,num_sources,geometry,phase_offset,alpha_0,gamma,M,T,has_commits,agent_commit_count,commit_rate,first_commit_time,final_psi,max_salience
2,1,symmetric,0,0.6,0.001,1,100.0,True,840,8.4,14.272440944882584,0.9585649892101133,0.09540654730609083
2,1,symmetric,0,0.8,0.001,1,100.0,True,1601,16.01,12.685039370079318,0.19941488776619976,0.17635425056998186
2,1,symmetric,0,1.0,0.001,1,100.0,True,2142,21.42,11.579527559055615,0.7330335979386577,0.26485728466604636
2,1,symmetric,0,1.2,0.001,1,100.0,True,3134,31.34,10.752755905512247,0.8378675734902932,0.3816261892243633
2,1,symmetric,0,1.4,0.001,1,100.0,True,4409,44.09,10.100787401575191,0.8298887230279877,0.542220408522238
2,1,symmetric,0,1.6,0.001,1,100.0,True,5547,55.47,9.566929133858617,0.717662968973475,0.7054170022799274
2,1,symmetric,0,1.8,0.001,1,100.0,True,5448,54.48,9.122834645669608,0.10898607922351267,0.8547916562538447
2,1,symmetric,0,2.0,0.001,1,100.0,True,7025,70.25,8.740157480315249,0.4546913499907245,1.0594291386641854
2,1,symmetric,0,2.2,0.001,1,100.0,True,9111,91.11,8.409448818897902,0.41457490845928036,1.2836307315375861
2,1,symmetric,0,2.4,0.001,1,100.0,True,10395,103.95,8.121259842519928,0.4597617922805426,1.5265047568974532
2,1,symmetric,0,2.6,0.001,1,100.0,True,11094,110.94,7.86141732283487,0.18297787914125938,1.790820985328494
2,1,symmetric,0,0.6,0.005,1,100.0,True,8028,80.28,14.1779527559062,3.153627410648376,3.153627410648376
2,1,symmetric,0,0.8,0.005,1,100.0,True,9871,98.71,12.628346456693487,5.630163958692175,5.630163958692175
2,1,symmetric,0,1.0,0.005,1,100.0,True,11113,111.13,11.54173228346506,8.83052795890748,8.83052795890748
2,1,symmetric,0,1.2,0.005,1,100.0,True,12018,120.18,10.724409448819332,12.614509642593504,12.614509642593504
2,1,symmetric,0,1.4,0.005,1,100.0,True,12722,127.22,10.081889763779914,17.215072511687993,17.215072511687993
