dimension,num_sources,geometry,phase_offset,alpha_0,gamma,M,T,has_commits,agent_commit_count,commit_rate,first_commit_time,final_psi,max_salience
4,1,symmetric,0,2.0,0.005,1,200.0,True,17317,86.585,8.719999999999859,22319.308333333334,22319.308333333334
4,1,symmetric,0,2.2,0.005,1,200.0,True,17440,87.2,8.389999999999866,26951.4375,26951.4375
4,1,symmetric,0,2.4,0.005,1,200.0,True,17548,87.74,8.099999999999872,32097.83125,32097.83125
4,1,symmetric,0,2.6,0.005,1,200.0,True,17643,88.215,7.849999999999877,37606.8,37606.8
4,1,symmetric,0,0.6,0.001,1,500.0,True,45077,90.154,14.089999999999744,4474.7625,4474.7625
4,1,symmetric,0,0.8,0.001,1,500.0,True,45741,91.482,12.549999999999777,8003.360416666666,8003.360416666666
4,1,symmetric,0,1.0,0.001,1,500.0,True,46193,92.386,11.4799999999998,12408.085416666667,12408.085416666667
4,1,symmetric,0,1.2,0.001,1,500.0,True,46527,93.054,10.669999999999817,17899.05,17899.05
4,1,symmetric,0,1.4,0.001,1,500.0,True,46786,93.572,10.02999999999983,24554.25833333333,24554.25833333333
4,1,symmetric,0,1.6,0.001,1,500.0,True,46994,93.988,9.509999999999842,32013.441666666666,32013.441666666666
4,1,symmetric,0,1.8,0.001,1,500.0,True,47167,94.334,9.069999999999851,40435.39166666666,40435.39166666666
4,1,symmetric,0,2.0,0.001,1,500.0,True,47313,94.626,8.699999999999859,49632.34166666667,49632.34166666667
4,1,symmetric,0,2.2,0.001,1,500.0,True,47439,94.878,8.369999999999866,59895.870833333334,59895.870833333334
4,1,symmetric,0,2.4,0.001,1,500.0,True,47549,95.098,8.079999999999872,71596.2,71596.2
4,1,symmetric,0,2.6,0.001,1,500.0,True,47645,95.29,7.8299999999998775,83515.78333333333,83515.78333333333
4,1,symmetric,0,0.6,0.005,1,500.0,True,45219,90.438,14.139999999999743,43690666.666666664,43690666.666666664
4,1,symmetric,0,0.8,0.005,1,500.0,True,45821,91.642,12.599999999999776,43690666.666666664,43690666.666666664
4,1,symmetric,0,1.0,0.005,1,500.0,True,46243,92.486,11.519999999999799,43690666.666666664,43690666.666666664
4,1,symmetric,0,1.2,0.005,1,500.0,True,46558,93.116,10.699999999999816,43690666.666666664,43690666.666666664
4,1,symmetric,0,1.4,0.005,1,500.0,True,46805,93.61,10.05999999999983,43690666.666666664,43690666.666666664
4,1,symmetric,0,1.6,0.005,1,500.0,True,47007,94.014,9.539999999999841,43690666.666666664,43690666.666666664
4,1,symmetric,0,1.8,0.005,1,500.0,True,47174,94.348,9.09999999999985,43690666.666666664,43690666.666666664
4,1,symmetric,0,2.0,0.005,1,500.0,True,47317,94.634,8.719999999999859,43690666.666666664,43690666.666666664
4,1,symmetric,0,2.2,0.005,1,500.0,True,47440,94.88,8.389999999999866,43690666.666666664,43690666.666666664
4,1,symmetric,0,2.4,0.005,1,500.0,True,47548,95.096,8.099999999999872,43690666.666666664,43690666.666666664
4,1,symmetric,0,2.6,0.005,1,500.0,True,47643,95.286,7.849999999999877,43690666.666666664,43690666.666666664
4,1,symmetric,1,0.6,0.001,1,100.0,True,5077,50.77,14.089999999999744,8.597515869140626,8.597515869140626
4,1,symmetric,1,0.8,0.001,1,100.0,True,5741,57.41,12.549999999999777,15.279567464192708,15.279567464192708
4,1,symmetric,1,1.0,0.001,1,100.0,True,6193,61.93,11.4799999999998,23.875337727864583,23.875337727864583
