run_id,num_sources,geometry,phase_offset,T,gamma,alpha_0,dimension,final_psi,max_salience,first_commit_time,agent_commit_count,commit_rate
3,1,symmetric,0,200.0,0.003,1.8,4,380.5694259756924,1951.0458539136225,3.9499999999999598,18992,94.96
4,1,symmetric,0,200.0,0.005,0.8,4,225624.2994098541,225624.2994098541,5.479999999999928,18490,92.45
5,1,symmetric,0,200.0,0.005,1.8,4,1137493.4475564435,1137493.4475564435,3.9599999999999596,18995,94.975
9,1,symmetric,0,500.0,0.003,1.8,4,173.63947168207878,1951.0458539136225,3.9499999999999598,48992,97.984
10,1,symmetric,0,500.0,0.005,0.8,4,64150029.909958415,64150029.909958415,5.479999999999928,48490,96.98
12,2,symmetric,0,200.0,0.001,0.8,4,58336.465524383384,58336.465524383384,4.139999999999956,18937,94.685
13,2,symmetric,0,200.0,0.001,1.8,4,295631.8845883983,295631.8845883983,2.9899999999999802,19293,96.465
14,2,symmetric,0,200.0,0.003,0.8,4,373.42067569434465,1541.4823685210092,4.149999999999956,18930,94.65
15,2,symmetric,0,200.0,0.003,1.8,4,1499.8924757898735,7806.385565899993,2.9899999999999802,19290,96.45
16,2,symmetric,0,200.0,0.005,0.8,4,903796.5564952426,903796.5564952426,4.149999999999956,18933,94.665
17,2,symmetric,0,200.0,0.005,1.8,4,4578999.882559192,4578999.882559192,2.9899999999999802,19290,96.45
20,2,symmetric,0,500.0,0.003,0.8,4,140.43464251624155,1541.4823685210092,4.149999999999956,48930,97.86
22,2,symmetric,0,500.0,0.005,0.8,4,64150029.909958415,64150029.909958415,4.149999999999956,48933,97.866
23,2,symmetric,0,500.0,0.005,1.8,4,64150029.909958415,64150029.909958415,2.9899999999999802,49290,98.58
24,4,symmetric,0,200.0,0.001,0.8,4,233823.25058261596,233823.25058261596,3.139999999999977,19249,96.245
25,4,symmetric,0,200.0,0.001,1.8,4,1179312.7237546856,1179312.7237546856,2.259999999999996,19500,97.5
26,4,symmetric,0,200.0,0.003,0.8,4,1479.3470504879103,6158.858937974898,3.139999999999977,19246,96.23
27,4,symmetric,0,200.0,0.003,1.8,4,6034.147771625178,31222.428982460904,2.259999999999996,19499,97.495
28,4,symmetric,0,200.0,0.005,0.8,4,3602317.2167807934,3602317.2167807934,3.139999999999977,19247,96.235
29,4,symmetric,0,200.0,0.005,1.8,4,18200667.01406297,18200667.01406297,2.259999999999996,19498,97.49
33,4,symmetric,0,500.0,0.003,1.8,4,2802.3198831444497,31222.428982460904,2.259999999999996,49499,98.998
34,4,symmetric,0,500.0,0.005,0.8,4,64150029.909958415,64150029.909958415,3.139999999999977,49247,98.494
35,4,symmetric,0,500.0,0.005,1.8,4,64150029.909958415,64150029.909958415,2.259999999999996,49498,98.996
