run_id,num_sources,geometry,phase_offset,T,gamma,alpha_0,dimension,final_psi,max_salience,first_commit_time,agent_commit_count,commit_rate
0,1,symmetric,0,200.0,0.001,0.8,3,43.780501994680854,43.780501994680854,17.52999999999994,13517,67.585
1,1,symmetric,0,200.0,0.001,1.8,3,221.30319148936172,221.30319148936172,12.659999999999775,15694,78.47
2,1,symmetric,0,200.0,0.003,0.8,3,0.2725449014217296,1.1562609571091673,17.669999999999963,8753,43.765
3,1,symmetric,0,200.0,0.003,1.8,3,1.2932356164810508,5.854930471866689,12.729999999999773,15340,76.7
4,1,symmetric,0,200.0,0.005,0.8,3,672.7420628324469,672.7420628324469,17.58999999999995,13885,69.425
5,1,symmetric,0,200.0,0.005,1.8,3,3410.157912234043,3410.157912234043,12.709999999999773,15778,78.89
6,1,symmetric,0,500.0,0.001,0.8,3,1505.182180851064,1505.182180851064,17.52999999999994,43517,87.034
7,1,symmetric,0,500.0,0.001,1.8,3,7622.644946808512,7622.644946808512,12.659999999999775,45694,91.388
8,1,symmetric,0,500.0,0.003,0.8,3,0.41474479310056006,1.1562609571091673,17.669999999999963,16629,33.258
9,1,symmetric,0,500.0,0.003,1.8,3,1.025590571951359,5.854930471866689,12.729999999999773,36876,73.752
10,1,symmetric,0,500.0,0.005,0.8,3,23530212.76595745,23530212.76595745,17.58999999999995,43885,87.77
11,1,symmetric,0,500.0,0.005,1.8,3,23530212.76595745,23530212.76595745,12.709999999999773,45778,91.556
12,2,symmetric,0,200.0,0.001,0.8,3,174.90999002659578,174.90999002659578,13.279999999999761,15431,77.155
13,2,symmetric,0,200.0,0.001,1.8,3,887.1321476063831,887.1321476063831,9.58999999999984,16962,84.81
14,2,symmetric,0,200.0,0.003,0.8,3,0.9915118116013548,4.637421303607049,13.34999999999976,14976,74.88
15,2,symmetric,0,200.0,0.003,1.8,3,5.1703711976396285,23.42251392121011,9.62999999999984,16840,84.2
16,2,symmetric,0,200.0,0.005,0.8,3,2705.9511303191493,2705.9511303191493,13.31999999999976,15538,77.69
17,2,symmetric,0,200.0,0.005,1.8,3,13657.188829787236,13657.188829787236,9.61999999999984,16975,84.875
18,2,symmetric,0,500.0,0.001,0.8,3,5978.980718085108,5978.980718085108,13.279999999999761,45431,90.862
19,2,symmetric,0,500.0,0.001,1.8,3,29966.175531914898,29966.175531914898,9.58999999999984,46962,93.924
20,2,symmetric,0,500.0,0.003,0.8,3,1.2101126325891376,4.637421303607049,13.34999999999976,34638,69.276
21,2,symmetric,0,500.0,0.003,1.8,3,2.0496572940907583,23.42251392121011,9.62999999999984,45086,90.172
22,2,symmetric,0,500.0,0.005,0.8,3,23530212.76595745,23530212.76595745,13.31999999999976,45538,91.076
23,2,symmetric,0,500.0,0.005,1.8,3,23530212.76595745,23530212.76595745,9.61999999999984,46975,93.95
24,4,symmetric,0,200.0,0.001,0.8,3,699.7111037234043,699.7111037234043,10.05999999999983,16777,83.885
25,4,symmetric,0,200.0,0.001,1.8,3,3555.358377659575,3555.358377659575,7.269999999999889,17855,89.275
26,4,symmetric,0,200.0,0.003,0.8,3,4.212709467461769,18.514344560339097,10.08999999999983,16631,83.155
27,4,symmetric,0,200.0,0.003,1.8,3,20.970643388464097,93.58382854055853,7.279999999999889,17809,89.045
28,4,symmetric,0,200.0,0.005,0.8,3,10863.034574468087,10863.034574468087,10.08999999999983,16797,83.985
29,4,symmetric,0,200.0,0.005,1.8,3,55203.63829787235,55203.63829787235,7.279999999999889,17850,89.25
30,4,symmetric,0,500.0,0.001,0.8,3,24035.441489361707,24035.441489361707,10.05999999999983,46777,93.554
31,4,symmetric,0,500.0,0.001,1.8,3,119644.08510638299,119644.08510638299,7.269999999999889,47855,95.71
32,4,symmetric,0,500.0,0.003,0.8,3,1.6243398138817322,18.514344560339097,10.08999999999983,44386,88.772
33,4,symmetric,0,500.0,0.003,1.8,3,8.285075086228392,93.58382854055853,7.279999999999889,47809,95.618
34,4,symmetric,0,500.0,0.005,0.8,3,23530212.76595745,23530212.76595745,10.08999999999983,46797,93.594
35,4,symmetric,0,500.0,0.005,1.8,3,23530212.76595745,23530212.76595745,7.279999999999889,47850,95.7
