run_id,num_sources,geometry,phase_offset,T,gamma,alpha_0,dimension,final_psi,max_salience,first_commit_time,agent_commit_count,commit_rate
3,1,symmetric,0,200.0,0.003,1.8,4,7.095992024739584,30.99433186848958,9.09999999999985,17068,85.34
4,1,symmetric,0,200.0,0.005,0.8,4,3583.3898437499997,3583.3898437499997,12.599999999999776,15821,79.105
5,1,symmetric,0,200.0,0.005,1.8,4,18172.166666666668,18172.166666666668,9.09999999999985,17174,85.87
9,1,symmetric,0,500.0,0.003,1.8,4,2.7347035725911457,30.99433186848958,9.09999999999985,46460,92.92
10,1,symmetric,0,500.0,0.005,0.8,4,43690666.666666664,43690666.666666664,12.599999999999776,45821,91.642
12,2,symmetric,0,200.0,0.001,0.8,4,926.4102864583333,926.4102864583333,9.509999999999842,16994,84.97
13,2,symmetric,0,200.0,0.001,1.8,4,4678.522916666667,4678.522916666667,6.869999999999898,18000,90.0
14,2,symmetric,0,200.0,0.003,0.8,4,5.119385274251302,24.481182861328126,9.539999999999841,16876,84.38
15,2,symmetric,0,200.0,0.003,1.8,4,28.2933349609375,123.98512369791666,6.8899999999998975,17962,89.81
16,2,symmetric,0,200.0,0.005,0.8,4,14165.639583333334,14165.639583333334,9.539999999999841,17007,85.035
17,2,symmetric,0,200.0,0.005,1.8,4,72070.88333333333,72070.88333333333,6.8899999999998975,17995,89.975
21,2,symmetric,0,500.0,0.003,1.8,4,10.881495157877604,123.98512369791666,6.8899999999998975,47962,95.924
22,2,symmetric,0,500.0,0.005,0.8,4,43690666.666666664,43690666.666666664,9.539999999999841,47007,94.014
23,2,symmetric,0,500.0,0.005,1.8,4,43690666.666666664,43690666.666666664,6.8899999999998975,47995,95.99
24,4,symmetric,0,200.0,0.001,0.8,4,3712.6588541666665,3712.6588541666665,7.199999999999891,17878,89.39
25,4,symmetric,0,200.0,0.001,1.8,4,18724.941666666666,18724.941666666666,5.199999999999934,18588,92.94
26,4,symmetric,0,200.0,0.003,0.8,4,20.55260009765625,97.91627604166666,7.2199999999998905,17834,89.17
27,4,symmetric,0,200.0,0.003,1.8,4,113.21318359375,495.92555338541666,5.209999999999933,18572,92.86
28,4,symmetric,0,200.0,0.005,0.8,4,57074.5,57074.5,7.2199999999998905,17873,89.365
29,4,symmetric,0,200.0,0.005,1.8,4,288426.06666666665,288426.06666666665,5.209999999999933,18582,92.91
32,4,symmetric,0,500.0,0.003,0.8,4,8.533929443359375,97.91627604166666,7.2199999999998905,47834,95.668
33,4,symmetric,0,500.0,0.003,1.8,4,43.66903483072917,495.92555338541666,5.209999999999933,48572,97.144
34,4,symmetric,0,500.0,0.005,0.8,4,43690666.666666664,43690666.666666664,7.2199999999998905,47873,95.746
35,4,symmetric,0,500.0,0.005,1.8,4,43690666.666666664,43690666.666666664,5.209999999999933,48582,97.164
