dimension,num_sources,geometry,phase_offset,alpha_0,gamma,M,T,has_commits,agent_commit_count,commit_rate,first_commit_time,final_psi,max_salience
2,2,symmetric,0,0.6,0.001,1,100.0,False,0,0.0,,0.0,2.752280610602432e-10
2,2,symmetric,0,0.8,0.001,1,100.0,False,0,0.0,,0.0,4.89294330773773e-10
2,2,symmetric,0,1.0,0.001,1,100.0,False,0,0.0,,0.0,7.645223918340046e-10
2,2,symmetric,0,1.2,0.001,1,100.0,False,0,0.0,,0.0,1.1009122442409727e-09
2,2,symmetric,0,1.4,0.001,1,100.0,False,0,0.0,,0.0,1.498463887994686e-09
2,2,symmetric,0,1.6,0.001,1,100.0,False,0,0.0,,0.0,1.957177323095092e-09
2,2,symmetric,0,1.8,0.001,1,100.0,False,0,0.0,,0.0,2.4770525495421975e-09
2,2,symmetric,0,2.0,0.001,1,100.0,False,0,0.0,,0.0,3.0580895673360186e-09
2,2,symmetric,0,2.2,0.001,1,100.0,False,0,0.0,,0.0,3.700288376476594e-09
2,2,symmetric,0,2.4,0.001,1,100.0,False,0,0.0,,0.0,4.403648976963891e-09
2,2,symmetric,0,2.6,0.001,1,100.0,False,0,0.0,,0.0,5.168171368797952e-09
2,2,symmetric,0,0.6,0.005,1,100.0,False,0,0.0,,0.0,1.6916411644621225e-11
2,2,symmetric,0,0.8,0.005,1,100.0,False,0,0.0,,0.0,3.007362070154888e-11
2,2,symmetric,0,1.0,0.005,1,100.0,False,0,0.0,,0.0,4.699003234617004e-11
2,2,symmetric,0,1.2,0.005,1,100.0,False,0,0.0,,0.0,6.76656465784849e-11
