run_id,num_sources,geometry,phase_offset,T,gamma,alpha_0,dimension,final_psi,max_salience,first_commit_time,agent_commit_count,commit_rate
4,1,symmetric,0,500,0.00475,0.8,3,23530212.76595745,23530212.76595745,17.57999999999995,43901,87.802
5,1,symmetric,0,500,0.00475,1.8,3,23530212.76595745,23530212.76595745,12.699999999999774,45786,91.572
6,1,symmetric,0,500,0.005,0.8,3,23530212.76595745,23530212.76595745,17.58999999999995,43885,87.77
7,1,symmetric,0,500,0.005,1.8,3,23530212.76595745,23530212.76595745,12.709999999999773,45778,91.556
9,1,symmetric,0,1000,0.004,1.8,3,1.3880116888817322,5.532855094747341,12.749999999999773,86349,86.349
10,1,symmetric,0,1000,0.0045,0.8,3,23530212.76595745,23530212.76595745,17.569999999999947,93914,93.914
12,1,symmetric,0,1000,0.00475,0.8,3,23530212.76595745,23530212.76595745,17.57999999999995,93901,93.901
13,1,symmetric,0,1000,0.00475,1.8,3,23530212.76595745,23530212.76595745,12.699999999999774,95786,95.786
14,1,symmetric,0,1000,0.005,0.8,3,23530212.76595745,23530212.76595745,17.58999999999995,93885,93.885
15,1,symmetric,0,1000,0.005,1.8,3,23530212.76595745,23530212.76595745,12.709999999999773,95778,95.778
16,2,symmetric,0,500,0.004,0.8,3,0.5836893041083154,4.368697470807016,13.36999999999976,36012,72.024
17,2,symmetric,0,500,0.004,1.8,3,2.9980273956948142,22.156647377825802,9.639999999999839,46821,93.642
18,2,symmetric,0,500,0.0045,0.8,3,23530212.76595745,23530212.76595745,13.30999999999976,45554,91.108
19,2,symmetric,0,500,0.0045,1.8,3,23530212.76595745,23530212.76595745,9.61999999999984,46983,93.966
20,2,symmetric,0,500,0.00475,0.8,3,23530212.76595745,23530212.76595745,13.31999999999976,45546,91.092
21,2,symmetric,0,500,0.00475,1.8,3,23530212.76595745,23530212.76595745,9.61999999999984,46979,93.958
22,2,symmetric,0,500,0.005,0.8,3,23530212.76595745,23530212.76595745,13.31999999999976,45538,91.076
23,2,symmetric,0,500,0.005,1.8,3,23530212.76595745,23530212.76595745,9.61999999999984,46975,93.95
25,2,symmetric,0,1000,0.004,1.8,3,5.665544875124668,22.156647377825802,9.639999999999839,96821,96.821
26,2,symmetric,0,1000,0.0045,0.8,3,23530212.76595745,23530212.76595745,13.30999999999976,95554,95.554
27,2,symmetric,0,1000,0.0045,1.8,3,23530212.76595745,23530212.76595745,9.61999999999984,96983,96.983
28,2,symmetric,0,1000,0.00475,0.8,3,23530212.76595745,23530212.76595745,13.31999999999976,95546,95.546
29,2,symmetric,0,1000,0.00475,1.8,3,23530212.76595745,23530212.76595745,9.61999999999984,96979,96.979
30,2,symmetric,0,1000,0.005,0.8,3,23530212.76595745,23530212.76595745,13.31999999999976,95538,95.538
31,2,symmetric,0,1000,0.005,1.8,3,23530212.76595745,23530212.76595745,9.61999999999984,96975,96.975
32,4,symmetric,0,500,0.004,0.8,3,2.3339652203499006,17.523368673121677,10.09999999999983,45451,90.902
33,4,symmetric,0,500,0.004,1.8,3,11.862629342586438,88.66876870013299,7.289999999999889,47800,95.6
34,4,symmetric,0,500,0.0045,0.8,3,23530212.76595745,23530212.76595745,10.07999999999983,46805,93.61
35,4,symmetric,0,500,0.0045,1.8,3,23530212.76595745,23530212.76595745,7.279999999999889,47854,95.708
36,4,symmetric,0,500,0.00475,0.8,3,23530212.76595745,23530212.76595745,10.07999999999983,46801,93.602
37,4,symmetric,0,500,0.00475,1.8,3,23530212.76595745,23530212.76595745,7.279999999999889,47852,95.704
38,4,symmetric,0,500,0.005,0.8,3,23530212.76595745,23530212.76595745,10.08999999999983,46797,93.594
39,4,symmetric,0,500,0.005,1.8,3,23530212.76595745,23530212.76595745,7.279999999999889,47850,95.7
40,4,symmetric,0,1000,0.004,0.8,3,4.329791779213764,17.523368673121677,10.09999999999983,95451,95.451
41,4,symmetric,0,1000,0.004,1.8,3,22.501908971908247,88.66876870013299,7.289999999999889,97800,97.8
42,4,symmetric,0,1000,0.0045,0.8,3,23530212.76595745,23530212.76595745,10.07999999999983,96805,96.805
43,4,symmetric,0,1000,0.0045,1.8,3,23530212.76595745,23530212.76595745,7.279999999999889,97854,97.854
44,4,symmetric,0,1000,0.00475,0.8,3,23530212.76595745,23530212.76595745,10.07999999999983,96801,96.801
45,4,symmetric,0,1000,0.00475,1.8,3,23530212.76595745,23530212.76595745,7.279999999999889,97852,97.852
46,4,symmetric,0,1000,0.005,0.8,3,23530212.76595745,23530212.76595745,10.08999999999983,96797,96.797
47,4,symmetric,0,1000,0.005,1.8,3,23530212.76595745,23530212.76595745,7.279999999999889,97850,97.85
