tick,peak,mass
0,1.0,1.0
1,0.125,1.0
2,0.052734375,1.0
3,0.030517578125,1.0
4,0.020444393157958984,1.0
5,0.0149039626121521,1.0
6,0.011479846201837063,1.0
7,0.00919140747282654,1.0
8,0.007573486382028705,1.0
9,0.006380064916822192,1.0
10,0.005470108158060427,1.0
11,0.004757576225751091,1.0
12,0.004187314087001846,1.0
13,0.003722506975956068,1.0
14,0.0033377416548716864,1.0
15,0.003014969674839466,1.0
16,0.0027410571772199257,1.0
17,0.002506242921273979,1.0
18,0.002303137115261099,1.0
19,0.0021260534388999946,1.0
20,0.001970552561595449,1.0
21,0.0018331234896031743,1.0
22,0.0017109568614749194,1.0
23,0.001601780882735083,1.0
24,0.0015037407460594299,1.0
25,0.0014153087602651673,1.0000000000000002
26,0.0013352165051628262,1.0
27,0.0012624030104603347,1.0
28,0.0011959747452700105,1.0
29,0.00113517441777435,1.0
30,0.001079356420129992,1.0
31,0.0010279673374405263,1.0
32,0.0009805303528785372,1.0
33,0.0009366326771825287,1.0
34,0.0008959153454083836,1.0
35,0.0008580648810634481,1.0
36,0.0008228064440969534,0.9999999999999999
37,0.0007898981661087804,1.0
38,0.0007591264415984975,1.0
39,0.0007303019938010735,1.0
40,0.0007032565717220458,1.0
41,0.0006778401643413031,1.0
42,0.0006539186407519108,1.0
43,0.0006313717428210211,1.0
44,0.0006100913709776351,1.0
45,0.0005899801148240499,1.0
46,0.000570949989094572,1.0
47,0.0005529213425471025,1.0
48,0.0005358219130523929,1.0
49,0.0005195860067353595,0.9999999999999998
50,0.0005041537827493129,1.0
51,0.0004894706283032163,1.0
52,0.00047548661105154834,1.0000000000000002
53,0.0004621559980038462,1.0
54,0.0004494368318017339,1.0
55,0.00043729055661259755,1.0
56,0.0004256816870548836,1.0
57,0.0004145775145432267,1.0
58,0.0004039478462568485,1.0
59,0.00039376477261974824,1.0
60,0.0003840024597587513,1.0
61,0.0003746369638938243,1.0
62,0.0003656460650291873,1.0
63,0.00035700911766594446,1.0
64,0.0003487069165572741,1.0
65,0.00034072157578398645,1.0
66,0.00033303641964835934,1.0
67,0.0003256358840732807,1.0
68,0.0003185054273566296,1.0
69,0.0003116314492714628,1.0
70,0.0003050012176242626,1.0
71,0.00029860280148902345,1.0
72,0.00029242501042665083,0.9999999999999999
73,0.00028645733907899546,1.0
74,0.0002806899165965083,1.0
75,0.0002751134604194082,1.0
76,0.00026971923398558885,1.0
77,0.00026449900798529435,1.0
78,0.00025944502482373846,1.0000000000000002
79,0.00025454996598905244,0.9999999999999999
80,0.00024980692205490924,1.0
81,0.0002452093650753878,1.0
82,0.0002407511231546218,1.0000000000000002
83,0.0002364263569959081,0.9999999999999998
84,0.0002322295382545993,0.9999999999999999
85,0.00022815542953656475,1.0000000000000002
86,0.00022419906589955406,1.0
87,0.00022035573772865072,1.0
88,0.00021662097486937874,0.9999999999999998
89,0.00021299053191307753,1.0000000000000002
90,0.00020946037453906162,1.0000000000000002
91,0.00020602666682695037,0.9999999999999999
92,0.00020268575946050878,1.0000000000000002
93,0.0001994341787514924,1.0
94,0.00019626861641842608,1.0
95,0.00019318592006102274,1.0
96,0.00019018308427619127,1.0
97,0.00018725724236627475,1.0
98,0.0001844056585944334,1.0000000000000002
99,0.00018162572094592976,1.0
100,0.00017891493435756665,1.0
101,0.00017627091438068523,1.0
102,0.0001736913812460022,1.0
103,0.00017117415430116916,0.9999999999999999
104,0.0001687171467943041,0.9999999999999999
105,0.00016631836097890209,0.9999999999999998
106,0.00016397588351749342,0.9999999999999998
107,0.00016168788116320874,1.0
108,0.00015945259670003848,1.0
109,0.00015726834512407473,0.9999999999999999
110,0.00015513351004937262,1.0
111,0.00015304654032332956,1.0
112,0.00015100594683761082,1.0
113,0.00014901029952170302,1.0000000000000002
114,0.0001470582245071316,1.0000000000000002
115,0.00014514840145126223,0.9999999999999998
116,0.0001432795610104125,0.9999999999999998
117,0.00014145048245274268,1.0
118,0.00013965999140208116,1.0
119,0.00013790695770446627,1.0
120,0.00013619029340976554,1.0
121,0.0001345089508612721,1.0
122,0.00013286192088666463,1.0
123,0.00013124823108417714,1.0
124,0.00012966694419824326,1.0
125,0.00012811715657926677,0.9999999999999998
126,0.00012659799672253282,1.0
127,0.00012510862388160295,0.9999999999999998
128,0.00012364822675184757,1.0
129,0.00012221602222005414,1.0000000000000002
130,0.00012081125417631332,1.0
131,0.00011943319238463132,1.0
132,0.00011808113140894472,1.0
133,0.00011675438959142481,0.9999999999999999
134,0.00011545230808015689,0.9999999999999999
135,0.00011417424990345979,1.0
136,0.00011291959908828515,1.0
137,0.00011168775982029055,0.9999999999999998
138,0.00011047815564333127,1.0
139,0.00010929022869624942,1.0
140,0.00010812343898497242,1.0
141,0.00010697726368804624,1.0
142,0.0001058511964938464,1.0
143,0.00010474474696780926,1.0
144,0.0001036574399481268,1.0000000000000002
145,0.00010258881496843622,1.0
146,0.00010153842570612492,1.0
147,0.0001005058394549451,1.0
148,9.949063662071332e-05,1.0
149,9.849241023893504e-05,1.0
150,9.751076551326223e-05,1.0
151,9.654531937375268e-05,1.0
152,9.559570005395756e-05,1.0
153,9.466154668591615e-05,0.9999999999999998
154,9.374250891218987e-05,1.0
155,9.283824651411286e-05,1.0
156,9.194842905548262e-05,1.0
157,9.107273554095468e-05,1.0
158,9.021085408844659e-05,1.0000000000000002
159,8.936248161489142e-05,1.0
160,8.852732353471783e-05,1.0
161,8.770509347046524e-05,1.0
162,8.689551297497439e-05,1.0
163,8.609831126462162e-05,1.0
164,8.531322496309445e-05,1.0
165,8.453999785522954e-05,1.0
166,8.377838065046114e-05,1.0
167,8.302813075544817e-05,0.9999999999999997
168,8.228901205547295e-05,1.0
169,8.156079470422227e-05,0.9999999999999999
170,8.084325492158258e-05,1.0
171,8.01361747990992e-05,1.0
172,7.943934211276554e-05,1.0
173,7.875255014282564e-05,1.0
174,7.807559750028989e-05,1.0
175,7.74082879598746e-05,1.0
176,7.6750430299095e-05,0.9999999999999998
177,7.610183814324999e-05,1.0
178,7.546232981605172e-05,1.0
179,7.483172819566416e-05,1.0
180,7.420986057592562e-05,0.9999999999999999
181,7.359655853254162e-05,1.0
182,7.299165779404286e-05,1.0
183,7.239499811731471e-05,1.0000000000000002
