tick,peak,mass
0,1.0,1.0
1,0.25,1.0
2,0.140625,1.0
3,0.09765625,1.0
4,0.07476806640625,1.0
5,0.0605621337890625,1.0
6,0.050889015197753906,1.0
7,0.043878793716430664,1.0
8,0.03856534603983164,1.0
9,0.034399336436763406,1.0
10,0.031045401134178974,1.0
11,0.0282872353309358,1.0
12,0.025979075503585136,1.0
13,0.02401911566529691,1.0
14,0.022334101173471232,1.0
15,0.02086997676321034,1.0
16,0.019585984052192515,1.0
17,0.018450810236018727,1.0
18,0.017440001959199803,1.0
19,0.016534184682925574,1.0
20,0.015717809314206122,1.0
21,0.014978252526746314,1.0
22,0.014305159567124965,1.0
23,0.013689956580069967,1.0
24,0.013125483543999374,1.0
25,0.012605714395656999,1.0
26,0.012125541103218881,1.0
27,0.011680605267126831,1.0
28,0.011267165476102889,1.0
29,0.010881991864404958,1.0
30,0.010522281577776016,1.0
31,0.010185590465896089,1.0000000000000002
32,0.009869777480259174,0.9999999999999999
33,0.009572959103327595,1.0
34,0.009293471759264182,1.0
35,0.009029840621603422,1.0
36,0.008780753582851632,1.0000000000000002
37,0.008545039416182678,1.0
38,0.008321649362193137,1.0
39,0.008109641529987362,1.0
40,0.007908167623226737,1.0
41,0.007716461596667256,1.0
42,0.007533829923390125,1.0
43,0.0073596432120732365,1.0
44,0.007193328960767346,1.0
45,0.007034365271387427,1.0000000000000002
46,0.00688227537953205,1.0000000000000002
47,0.006736622878856123,1.0
48,0.006597007539244416,1.0000000000000002
49,0.006463061634397197,1.0
50,0.006334446707872695,1.0
51,0.006210850717705627,1.0
52,0.006091985508888591,1.0
53,0.005977584570620926,1.0
54,0.005867401041584274,1.0
55,0.0057612059318233695,1.0
56,0.005658786534278997,1.0
57,0.0055599450027861265,1.0
58,0.005464497076534374,1.0
59,0.005372270933688525,1.0
60,0.005283106159164113,1.0
61,0.005196852813512616,1.0
62,0.005113370591547371,1.0
63,0.005032528060779015,0.9999999999999998
64,0.004954201970965865,1.0
65,0.004878276627150471,1.0
66,0.00480464331947482,1.0
67,0.004733199803864452,1.0000000000000002
68,0.00466384982836449,1.0
69,0.004596502700513186,1.0
70,0.004531072891664044,1.0
71,0.004467479674626705,1.0
72,0.004405646791398605,1.0
73,0.004345502148112014,1.0
74,0.004286977534630775,1.0
75,0.004230008366503904,1.0
76,0.004174533447223663,0.9999999999999999
77,0.0041204947489483345,1.0
78,0.004067837210037958,1.0
79,0.004016508547918028,1.0
80,0.0039664590859342045,1.0
81,0.003917641592992701,0.9999999999999999
82,0.00387001113489824,0.9999999999999999
83,0.0038235249364060296,0.9999999999999998
84,0.0037781422530976374,1.0
85,0.003733824252274101,1.0
86,0.0036905339021344923,1.0000000000000002
87,0.003648235868575207,1.0
88,0.003606896419005534,0.9999999999999998
89,0.003566483332629211,0.9999999999999999
90,0.00352696581669049,0.9999999999999998
91,0.0034883144282271536,0.9999999999999999
92,0.0034505010009126262,1.0
93,0.0034134985766051803,1.0
94,0.0033772813412546424,1.0
95,0.0033418245648463634,0.9999999999999998
96,0.003307104545088858,1.0
97,0.0032730985545756388,1.0
98,0.0032397847911737427,1.0
99,0.0032071423314113602,0.9999999999999999
100,0.003175151086655177,0.9999999999999998
101,0.003143791761884551,1.0
102,0.0031130458168847647,1.0
103,0.00308289542969533,1.0
104,0.003053323462161963,1.0
105,0.003024313427452281,1.0
106,0.002995849459405884,0.9999999999999998
107,0.002967916283599081,0.9999999999999999
108,0.0029404991900133836,1.0000000000000002
109,0.0029135840072050155,1.0
110,0.0028871570778801455,1.0
111,0.0028612052357873765,1.0
112,0.0028357157838453583,1.0
113,0.002810676473429189,0.9999999999999999
114,0.002786075484744598,1.0
115,0.002761901408223839,1.0
116,0.0027381432268817926,1.0000000000000002
117,0.002714790299574921,1.0
118,0.002691832345109672,1.0
119,0.0026692594271504238,1.0
120,0.002647061939880464,1.0
121,0.0026252305943725205,1.0
122,0.002603756405628202,1.0
123,0.002582630680248376,1.0
124,0.0025618450046989275,1.0
125,0.0025413912341386356,1.0
126,0.0025212614817779846,1.0
127,0.00250144810873972,0.9999999999999998
128,0.002481943714393758,1.0
129,0.0024627411271407494,0.9999999999999999
130,0.0024438333956202088,0.9999999999999998
131,0.0024252137803205363,1.0
