dimension,mean_salience,std_salience,CV_original,CV_normalized,CV_log,discrimination_ratio
1D,0.2940435313780162,0.6967219588656473,2.3694517461428393,2.702862998726346,1.7500277835086762,1.1407124045156256
2D,7861.997530804266,29425.065878661382,3.742695894188517,3280.41448013152,0.8208916603369032,876.4843772707246
3D,3933737.8432279583,8769412.55273272,2.2292824032057736,577501.1055620101,0.5520117501357593,259052.46671823476
4D,7280752.571845714,16207314.903405884,2.226049401277378,1025731.0638100393,0.4391903874971287,460785.4000101894
5D,18588171.362415347,41404123.8850376,2.227444705440759,2473654.8410658594,0.4545206274451328,1110534.7912896366
