alpha_0,T,agent_commit_count,commit_rate,first_commit_time,last_commit_time,avg_commit_interval,std_commit_interval
2.0,100.0,1,0.01,97.09999999998418,97.09999999998418,,
2.0,200.0,28,0.14,97.09999999998418,199.09999999989142,3.7777777777743426,2.9481109247576747
2.0,500.0,323,0.646,97.09999999998418,499.0999999996186,1.2484472049678088,1.1530734296508565
3.0,100.0,2,0.02,83.09999999999691,96.09999999998509,12.999999999988177,
3.0,200.0,56,0.28,83.09999999999691,199.09999999989142,2.1090909090889913,2.059768100561677
3.0,500.0,356,0.712,83.09999999999691,499.0999999996186,1.1718309859144271,0.9046333158918498
5.0,100.0,6,0.06,67.09500000001147,98.09999999998327,6.200999999994361,2.638485171454889
5.0,200.0,89,0.445,67.09500000001147,199.09999999989142,1.5000568181804539,1.4063776193226816
5.0,500.0,389,0.778,67.09500000001147,499.0999999996186,1.1134149484525957,0.7017452474009886
10.0,100.0,22,0.22,51.09500000000769,99.09999999998236,2.285952380951175,1.6659457624573646
10.0,200.0,122,0.61,51.09500000000769,199.09999999989142,1.2231818181808574,0.8478607011741033
10.0,500.0,422,0.844,51.09500000000769,499.0999999996186,1.064144893110715,0.4656306023726899
