log10_radius,target_radius,measured_radius,pi_estimate,pi_error,error_percent,float_spacing,precision_status
0.0,1.0,1.0,2.8284271247461903,0.3131655288436028,9.968368384289384,2.220446049250313e-16,EXCELLENT
1.0,10.0,10.0,3.1197513478030396,0.021841305786753473,0.6952303559086868,1.7763568394002505e-15,EXCELLENT
2.0,100.0,100.0,3.1394054801596125,0.0021871734301806,0.06961989256249979,1.4210854715202004e-14,EXCELLENT
3.0,1000.0,1000.0,3.141166039717219,0.0004266138725741442,0.013579541322350201,1.1368683772161603e-13,EXCELLENT
6.0,1000000.0,1000000.0,3.1409565188339266,0.0006361347558665464,0.020248798173743386,1.1641532182693481e-10,EXCELLENT
9.0,1000000000.0,1000000000.0,3.1406384604051327,0.0009541931846603902,0.030372912400659757,1.1920928955078125e-07,EXCELLENT
12.0,1000000000000.0,1000000000000.0,3.1405850346502904,0.0010076189395027413,0.032073506994974944,0.0001220703125,EXCELLENT
17.0,1e+17,1e+17,3.1415627741807066,2.9879409086497333e-05,0.0009510911305561886,16.0,DEGRADED
22.0,1e+22,1e+22,3.141582927980385,9.725609408040015e-06,0.0003095757623741221,2097152.0,DEGRADED
27.0,1e+27,1e+27,3.141582276845272,1.0376744520979031e-05,0.0003303020367431109,137438953472.0,DEGRADED
32.0,1e+32,1e+32,3.141574029237632,1.8624352160934166e-05,0.000592831541659379,1.8014398509481984e+16,DEGRADED
42.0,1e+42,1e+42,3.1415446668195903,4.7986770202790296e-05,0.0015274663361577899,1.5474250491067253e+26,DEGRADED
52.0,1e+52,1e+52,3.141555642781274,3.7010808519255534e-05,0.0011780906247334298,1.329227995784916e+36,DEGRADED
62.0,1e+62,1e+62,3.1415714557398724,2.1197849920717715e-05,0.0006747485195604733,1.141798154164768e+46,DEGRADED
72.0,1e+72,1e+72,3.141581067608985,1.1585980808082041e-05,0.0003687932232348178,1.9615942923083377e+56,DEGRADED
82.0,1e+82,1e+82,3.1415726339592642,2.001963052888911e-05,0.0006372446315092234,1.684996666696915e+66,DEGRADED
92.0,1e+92,1e+92,3.1415821838276003,1.0469762192766296e-05,0.00033326288119507944,1.4474011154664524e+76,DEGRADED
102.0,1e+102,1e+102,3.1415766027314644,1.6050858328675588e-05,0.0005109146887752876,1.2433080910244666e+86,DEGRADED
122.0,1e+122,1e+122,3.1415729750298875,1.967855990558931e-05,0.000626388016380904,1.8347988927920572e+106,DEGRADED
142.0,1e+142,1e+142,3.1414872776396914,0.00010537595010173817,0.003354220668339308,1.3538426240824291e+126,DEGRADED
