tick,alpha,G,h,Lambda,alpha_drift,G_drift,h_drift,Lambda_drift
10,0.8681969188935132,0.8675783855903936,14,0.0,0.015885821352323415,0.022625105606405696,23.29,0.00022500000000000002
20,0.8519535804752523,0.8906101802086627,0,0.0,0.008773364216215383,0.013885899644426566,31.4475,0.0002145549886621315
30,0.8474028207774339,0.9275741710296684,0,0.0,0.006015546917728367,0.010115554929011587,25.2,0.00020504514324860647
40,0.800655898324242,0.9139430284857571,0,0.0,0.0048586198170912425,0.007953696468876408,20.5875,0.00019635021779064232
50,0.7886393472368706,0.8935121817684095,0,0.0,0.004156643256345325,0.006490884171206871,17.279999999999998,0.00018836971629981598
60,0.78643677822006,0.8920252123869553,0,0.0,0.0035655352714361785,0.005630077489388929,14.85,0.00015986830209147648
70,0.90448236611058,0.9413522599925289,0,0.0,0.0037103337809514486,0.00512453631526064,13.00408163265306,0.00013880152741001852
80,0.9144294993082178,0.9110364343827378,15,0.0,0.00425575250714245,0.004631127117072119,34.209999999999994,0.00012261391892013536
90,0.8979979064921857,0.896789406856521,19,0.0,0.004736456694290974,0.004286254785394615,54.8258024691358,0.00010979391084798044
100,0.9175430275292976,0.9175381450368593,20,0.0,0.005041405339235591,0.004026921039026363,68.0196,9.93932274648417e-05
110,0.7893975210221388,0.8823857302118172,0,0.037037037037037035,0.004675800793982312,0.0037289317935266016,64.79140495867767,0.00012579253291608068
120,0.8631114182029513,0.92109375,0,0.034482758620689655,0.004333344715532071,0.0035469714858613597,61.64972222222221,0.00013290045789143072
130,0.8775498129214819,0.9379274611398963,0,0.0,0.004041621837630246,0.003352461715172276,58.67076923076923,0.00013037060808964552
140,0.8910325415221405,0.9171852122986823,0,0.0,0.0038260187095465127,0.00319875405014771,55.8834693877551,0.00012775093555268568
150,0.8937179232006818,0.9221922105079725,0,0.0,0.003799767229985546,0.0030905918953201563,53.29315555555556,0.00011996412893251778
160,0.8950677278881927,0.9240176945094978,0,0.0,0.0037417234888243002,0.002975897585808033,50.893593749999994,0.00011306513535666642
170,0.9004709801692561,0.929461293925595,0,0.0,0.0037090465054567087,0.002888764643861196,48.67321799307958,0.00010691148890241075
180,0.9124898828495417,0.9408418657565415,0,0.0,0.003638890412547356,0.00278939205080904,46.61839506172839,0.00010585963533288205
190,0.9105694316132645,0.9384922156607102,0,0.0,0.003565770163262504,0.0026950933081997404,44.715124653739615,0.00010068953944416588
200,0.9013563723856964,0.9289506558401,0,0.0,0.0035070394663643456,0.0026159714105997833,42.9499,9.599831407708496e-05
210,0.9253595627789176,0.9541223404255319,0,0.0,0.0034424773329759665,0.00254014916611181,41.310113378684804,9.172273814585962e-05
220,0.8970805332752219,0.9239371827411168,0,0.0,0.0033641363779426613,0.0024584622210739536,39.78421487603306,8.781018473928553e-05
230,0.8821507521464991,0.9367661729721434,0,0.0,0.0032353734101259525,0.002378872756885145,38.36173913043478,8.760648231099986e-05
240,0.9038846901243028,0.9601663383672576,0,0.0,0.0031293383061123206,0.0023403025747700296,37.03326388888889,8.417718471972859e-05
250,0.8795795043724115,0.9340381521489313,0,0.0,0.003013076126326232,0.002266864826543679,35.790336,8.100526024737343e-05
260,0.9258455151833415,0.9534993270524899,0,0.0,0.002958201878774056,0.0022039582356173735,34.62538461538461,7.806289483824429e-05
270,0.8963424040654915,0.9487179487179487,0,0.0,0.002870860827005675,0.002165946123169381,33.53163237311385,8.064664109682871e-05
280,0.8825539103241022,0.95804894289995,0,0.0,0.002772001992812467,0.0021117979835455552,32.503010204081626,8.242462731512293e-05
290,0.8728374395021978,0.9452291274325173,0,0.0,0.002683639719038784,0.002060570280649447,31.534078478002378,8.17345263934701e-05
300,0.8596197357412894,0.9308447513216097,0,0.0,0.00259760714924677,0.0020284450349801917,30.61995555555556,7.918729154078576e-05
310,0.8772583547356989,0.9482132619912096,0,0.0,0.0025187843590651496,0.0020079950398176147,29.75625390218522,7.8544375706168e-05
320,0.8658856617805106,0.9340469926517282,0,0.0,0.0024442893891270757,0.001976336587200528,28.939023437500005,7.784918483605693e-05
330,0.8997187112604143,0.9455815663684275,0,0.0,0.0023774893507884113,0.001946945064030823,28.164701561065197,7.564337665887376e-05
340,0.9340259472404757,0.9572847682119205,0,0.0,0.0023916503437291666,0.0019220225594941435,27.43006920415225,7.355857187794527e-05
350,0.9273041837726954,0.9503607072104063,0,0.0,0.002428494843968315,0.0019080402860863384,26.73221224489796,7.158512734718035e-05
360,0.9481643998417011,0.9716464396949844,0,0.0,0.002454164259873762,0.0018899686118662455,26.068487654320986,6.971439267722773e-05
370,0.9219928672752805,0.9448622501039265,0,0.0,0.0024852906203100427,0.0018787024530258934,25.436493791088385,6.793858642737645e-05
380,0.9290450741103916,0.9521719726271943,0,0.0,0.002493290955754368,0.0018553905388901694,24.83404432132964,6.625069025517283e-05
390,0.9112572362461793,0.9567029319564817,0,0.0,0.00246398783717684,0.0018391826143428554,24.259145299145295,6.593141218545126e-05
400,0.9033522454995968,0.9483056578255316,0,0.0,0.002433828148891704,0.0018266425961567185,23.709974999999996,6.437452390201539e-05
410,0.9350743447382103,0.9577320642718248,0,0.0,0.0024202522794725292,0.0018074016784831947,23.184866151100536,6.288923173847583e-05
420,0.9258073632180883,0.9476241375959576,0,0.0,0.002427468012350891,0.0017872429027959377,22.682290249433105,6.261339359184091e-05
430,0.9577186123548485,0.9575616373717117,36,0.0,0.0024565664719297547,0.0017670359891934005,31.41363439697134,6.12354115454647e-05
440,0.9650350553162744,0.964935705785028,36,0.0,0.002537341343881336,0.001755088238510826,58.4090444214876,5.9916593801198926e-05
450,0.9715118866486022,0.9713354526754469,35,0.0,0.0026103151312673618,0.0017429350006437619,80.03346172839507,5.967347548022078e-05
460,0.971569862827662,0.9714918128966878,40,0.0,0.002667162621814563,0.00172728614912159,104.10499054820414,5.8443818897574624e-05
470,0.9645358958704183,0.964451062677677,37,0.0,0.0027211294770943433,0.0017135032784136174,125.3882344952467,5.72636730317287e-05
480,0.9608624457484057,0.9607045330420535,37,0.0,0.0027799857221365866,0.0017042606118895275,144.82359375000001,5.613011574084613e-05
490,0.970286390728893,0.9701464563977616,37,0.0,0.0028317431400745412,0.0016944429584375366,162.81019991670135,5.5040449648783974e-05
500,0.9640786047523964,0.9640361804690462,38,0.0,0.0028730306498335363,0.0016820274052037588,179.037616,5.399218101862044e-05
510,0.9691000393860351,0.9689627553063677,39,0.0,0.0029027807150582736,0.0016661412997819823,192.9934794309881,5.3853615744932195e-05
520,0.9705476748414922,0.9705046374788072,41,0.0,0.0029347891650070975,0.0016538171900912146,208.511150147929,5.2867322627570805e-05
530,0.9831566345463112,0.983100714876234,41,0.0,0.0029673557567754054,0.0016436142237965614,222.73949448202205,5.191642086768751e-05
540,0.971041690858988,0.9709599421691553,39,0.0,0.00299300553169992,0.001631514019111006,235.24545953360766,5.099904391279733e-05
550,0.9672218272749663,0.9670755001507992,39,0.0,0.003016748376080076,0.0016202031418487922,246.87900826446278,5.011345384532225e-05
560,0.9763576035582484,0.976222775818267,39,0.0,0.00303886733409185,0.0016099367901426637,258.49014987244897,4.9258030521199813e-05
570,0.9695135369424501,0.9693980128579778,40,0.0,0.0030461017277600374,0.001593501354077727,267.1055370883348,4.91832519361833e-05
580,0.9813710869466371,0.9813479021725212,42,0.0,0.0030622255815890703,0.001583168655935898,276.52524078478,4.9076604483194554e-05
590,0.9707562904714446,0.9706633488311178,42,0.0,0.003081066549693492,0.0015749203660794834,287.2475840275783,4.828219621060175e-05
600,0.9781686919115041,0.9781128220649994,43,0.0,0.003085870204229918,0.0015616910494324996,293.97638888888883,4.8782700409517265e-05
610,0.9711666344345004,0.9710894590324279,8,0.02040816326530612,0.003098144622201085,0.0015523754752073168,303.23591507659233,4.860188230841665e-05
620,0.957361353702471,0.9764504388781845,0,0.0,0.003095169495098141,0.0015479098912780085,305.0233376690947,4.8402176578562605e-05
630,0.9548947553119306,0.9731835564053537,0,0.0,0.003075549164072644,0.001540724698102896,302.539433106576,4.867795067039606e-05
640,0.9562620636895605,0.9745830023828436,0,0.0,0.0030603821222428005,0.00153521912153364,300.06062255859376,4.795536234898018e-05
650,0.9592739046642341,0.9776462230641724,0,0.0,0.0030464887047420425,0.001530628483391854,297.5899668639053,4.725385613066121e-05
660,0.9652276663136055,0.9827327524940117,0,0.0,0.0030369618570971276,0.0015284303303446734,295.13014462809923,4.787264355407632e-05
670,0.9586170308368008,0.9760087532023911,0,0.0,0.003026724906531614,0.001525694049439288,292.6834952105146,4.719504668162833e-05
680,0.9610235222247951,0.9784737889847379,0,0.0,0.0030165658172089218,0.001523006343706905,290.25205666089965,4.653630920979729e-05
690,0.9595304258302995,0.9765760080772385,0,0.0,0.003005905263501259,0.0015198849508132855,287.83759924385635,4.627867326874273e-05
700,0.9585444267528919,0.9756057484485003,0,0.0,0.002995190842504328,0.0015165826907849768,285.4416551020408,4.565101641221619e-05
710,0.9567476694427257,0.9738106405364636,0,0.0,0.0029836976015081675,0.0015127081435079629,283.06554453481453,4.504011057473408e-05
720,0.9713189038230181,0.9883213552361396,0,0.0,0.002975153674525482,0.001510909670190082,280.7103993055556,4.48001860563446e-05
730,0.9653139429038643,0.9819690998500331,0,0.017241379310344827,0.00296443938427108,0.0015073794604005713,278.3771833364609,4.4553644262343634e-05
740,0.9848151370698973,0.984796743669715,55,0.0,0.0029770192578344452,0.0015043385163750745,295.9000803506209,4.3981755383235134e-05
750,0.9791385287032389,0.9791084511192627,55,0.0,0.002993270933063339,0.00150262485473749,314.7081973333333,4.374064307379869e-05
760,0.9901874167842886,0.9901754253379559,57,0.0,0.003006627223054495,0.0015012937373986156,331.4200831024931,4.349447348375358e-05
770,0.9888000710079725,0.98878652322117,58,0.0,0.003021405308726044,0.001499916559113074,347.343093270366,4.351893964492169e-05
780,0.9852204972822166,0.985202034179755,58,0.0,0.0030378538042506588,0.0015001911758184378,369.7312031558185,4.2989958839338695e-05
790,0.9897067740491681,0.9897002622063032,59,0.0,0.0030529807427232833,0.0015002262912974006,390.6416984457619,4.2473646210916935e-05
800,0.9871992322594255,0.9871837937004212,59,0.0,0.00306514956058303,0.0014990602371603,410.61984375,4.196955350408258e-05
810,0.9862025621593314,0.9861782999308915,58,0.0,0.003075584964956332,0.0014973429735910143,426.8606934918457,4.173156903913737e-05
820,0.9870864742519845,0.9870757962672535,59,0.0,0.003087669084792043,0.001497096074426936,445.98253420582995,4.124823559679754e-05
830,0.9845785909125636,0.9845676465248321,60,0.0,0.0030979274291479037,0.0014962782528284235,463.97573523007696,4.0775939590644955e-05
840,0.9891924739754614,0.9891727454123188,60,0.0,0.003106921758569359,0.0014950844232733175,481.08491921768706,4.031430832299313e-05
850,0.9909594964645202,0.9909452674449333,61,0.0,0.0031145155756131812,0.001493428479661615,495.75709342560555,4.0098811165166125e-05
860,0.9728144398032917,0.9873230690164672,0,0.0,0.0031095718110614565,0.001489894069179805,500.5771376419686,4.0306649230536393e-05
870,0.9706692285349509,0.9851356293157226,0,0.0,0.0030975869837490274,0.001487624180403313,497.99878583696653,3.9867037338505134e-05
880,0.975002732548392,0.9895478800883918,0,0.0,0.0030845859233293357,0.0014844687580241273,495.40768465909093,3.9436884493962244e-05
890,0.9719015293819612,0.9863986441550641,0,0.0,0.0030731703390044105,0.0014825302560261984,492.8066418381518,3.901588958810022e-05
900,0.970277561348365,0.9847349610300133,0,0.0,0.0030619051961199915,0.0014806350284538737,490.1982358024692,3.860376411523951e-05
910,0.9738652972835322,0.9881749507857255,0,0.0,0.003050521933466421,0.0014784531327753634,487.58483395725153,3.839352342334363e-05
920,0.9739401143420178,0.988048302063851,0,0.0,0.0030387367278328914,0.0014756843898715772,484.9686094045369,3.81817270905933e-05
930,0.9736622607143745,0.9875627481831123,0,0.0,0.0030266209796379192,0.001472487423703735,482.35155624927734,3.796869299214646e-05
940,0.9769340664226489,0.990883212086256,0,0.0,0.0030154825510571625,0.0014699469323506504,479.7355036215482,3.7584867818783886e-05
