[Constants t=510] α=0.9691 (drift=0.002903), G=0.9690 (drift=0.001666), h=39, Λ=0.0000 (drift=0.000054)
[Constants t=520] α=0.9705 (drift=0.002935), G=0.9705 (drift=0.001654), h=41, Λ=0.0000 (drift=0.000053)
[Constants t=530] α=0.9832 (drift=0.002967), G=0.9831 (drift=0.001644), h=41, Λ=0.0000 (drift=0.000052)
[Constants t=540] α=0.9710 (drift=0.002993), G=0.9710 (drift=0.001632), h=39, Λ=0.0000 (drift=0.000051)
[Constants t=550] α=0.9672 (drift=0.003017), G=0.9671 (drift=0.001620), h=39, Λ=0.0000 (drift=0.000050)
[Constants t=560] α=0.9764 (drift=0.003039), G=0.9762 (drift=0.001610), h=39, Λ=0.0000 (drift=0.000049)
[Constants t=570] α=0.9695 (drift=0.003046), G=0.9694 (drift=0.001594), h=40, Λ=0.0000 (drift=0.000049)
[Constants t=580] α=0.9814 (drift=0.003062), G=0.9813 (drift=0.001583), h=42, Λ=0.0000 (drift=0.000049)
[Constants t=590] α=0.9708 (drift=0.003081), G=0.9707 (drift=0.001575), h=42, Λ=0.0000 (drift=0.000048)
[Constants t=600] α=0.9782 (drift=0.003086), G=0.9781 (drift=0.001562), h=43, Λ=0.0000 (drift=0.000049)
[Constants t=610] α=0.9712 (drift=0.003098), G=0.9711 (drift=0.001552), h=8, Λ=0.0204 (drift=0.000049)
[Constants t=620] α=0.9574 (drift=0.003095), G=0.9765 (drift=0.001548), h=0, Λ=0.0000 (drift=0.000048)
[Constants t=630] α=0.9549 (drift=0.003076), G=0.9732 (drift=0.001541), h=0, Λ=0.0000 (drift=0.000049)
[Constants t=640] α=0.9563 (drift=0.003060), G=0.9746 (drift=0.001535), h=0, Λ=0.0000 (drift=0.000048)
[Constants t=650] α=0.9593 (drift=0.003046), G=0.9776 (drift=0.001531), h=0, Λ=0.0000 (drift=0.000047)
[Constants t=660] α=0.9652 (drift=0.003037), G=0.9827 (drift=0.001528), h=0, Λ=0.0000 (drift=0.000048)
[Constants t=670] α=0.9586 (drift=0.003027), G=0.9760 (drift=0.001526), h=0, Λ=0.0000 (drift=0.000047)
[Constants t=680] α=0.9610 (drift=0.003017), G=0.9785 (drift=0.001523), h=0, Λ=0.0000 (drift=0.000047)
[Constants t=690] α=0.9595 (drift=0.003006), G=0.9766 (drift=0.001520), h=0, Λ=0.0000 (drift=0.000046)
[Constants t=700] α=0.9585 (drift=0.002995), G=0.9756 (drift=0.001517), h=0, Λ=0.0000 (drift=0.000046)
[Constants t=710] α=0.9567 (drift=0.002984), G=0.9738 (drift=0.001513), h=0, Λ=0.0000 (drift=0.000045)
[Constants t=720] α=0.9713 (drift=0.002975), G=0.9883 (drift=0.001511), h=0, Λ=0.0000 (drift=0.000045)
[Constants t=730] α=0.9653 (drift=0.002964), G=0.9820 (drift=0.001507), h=0, Λ=0.0172 (drift=0.000045)
[Constants t=740] α=0.9848 (drift=0.002977), G=0.9848 (drift=0.001504), h=55, Λ=0.0000 (drift=0.000044)
[Constants t=750] α=0.9791 (drift=0.002993), G=0.9791 (drift=0.001503), h=55, Λ=0.0000 (drift=0.000044)
[Constants t=760] α=0.9902 (drift=0.003007), G=0.9902 (drift=0.001501), h=57, Λ=0.0000 (drift=0.000043)
[Constants t=770] α=0.9888 (drift=0.003021), G=0.9888 (drift=0.001500), h=58, Λ=0.0000 (drift=0.000044)
[Constants t=780] α=0.9852 (drift=0.003038), G=0.9852 (drift=0.001500), h=58, Λ=0.0000 (drift=0.000043)
[Constants t=790] α=0.9897 (drift=0.003053), G=0.9897 (drift=0.001500), h=59, Λ=0.0000 (drift=0.000042)
[Constants t=800] α=0.9872 (drift=0.003065), G=0.9872 (drift=0.001499), h=59, Λ=0.0000 (drift=0.000042)
[Constants t=810] α=0.9862 (drift=0.003076), G=0.9862 (drift=0.001497), h=58, Λ=0.0000 (drift=0.000042)
[Constants t=820] α=0.9871 (drift=0.003088), G=0.9871 (drift=0.001497), h=59, Λ=0.0000 (drift=0.000041)
[Constants t=830] α=0.9846 (drift=0.003098), G=0.9846 (drift=0.001496), h=60, Λ=0.0000 (drift=0.000041)
[Constants t=840] α=0.9892 (drift=0.003107), G=0.9892 (drift=0.001495), h=60, Λ=0.0000 (drift=0.000040)
[Constants t=850] α=0.9910 (drift=0.003115), G=0.9909 (drift=0.001493), h=61, Λ=0.0000 (drift=0.000040)
[Constants t=860] α=0.9728 (drift=0.003110), G=0.9873 (drift=0.001490), h=0, Λ=0.0000 (drift=0.000040)
[Constants t=870] α=0.9707 (drift=0.003098), G=0.9851 (drift=0.001488), h=0, Λ=0.0000 (drift=0.000040)
[Constants t=880] α=0.9750 (drift=0.003085), G=0.9895 (drift=0.001484), h=0, Λ=0.0000 (drift=0.000039)
[Constants t=890] α=0.9719 (drift=0.003073), G=0.9864 (drift=0.001483), h=0, Λ=0.0000 (drift=0.000039)
[Constants t=900] α=0.9703 (drift=0.003062), G=0.9847 (drift=0.001481), h=0, Λ=0.0000 (drift=0.000039)
[Constants t=910] α=0.9739 (drift=0.003051), G=0.9882 (drift=0.001478), h=0, Λ=0.0000 (drift=0.000038)
[Constants t=920] α=0.9739 (drift=0.003039), G=0.9880 (drift=0.001476), h=0, Λ=0.0000 (drift=0.000038)
[Constants t=930] α=0.9737 (drift=0.003027), G=0.9876 (drift=0.001472), h=0, Λ=0.0000 (drift=0.000038)
[Constants t=940] α=0.9769 (drift=0.003015), G=0.9909 (drift=0.001470), h=0, Λ=0.0000 (drift=0.000038)
[Constants t=950] α=0.9765 (drift=0.003006), G=0.9905 (drift=0.001468), h=0, Λ=0.0000 (drift=0.000037)
[Constants t=960] α=0.9773 (drift=0.002994), G=0.9913 (drift=0.001465), h=0, Λ=0.0000 (drift=0.000037)
[Constants t=970] α=0.9783 (drift=0.002983), G=0.9922 (drift=0.001462), h=0, Λ=0.0000 (drift=0.000036)
[Constants t=980] α=0.9753 (drift=0.002971), G=0.9892 (drift=0.001459), h=0, Λ=0.0000 (drift=0.000036)
[Constants t=990] α=0.9798 (drift=0.002959), G=0.9936 (drift=0.001456), h=0, Λ=0.0000 (drift=0.000036)
[Constants t=1000] α=0.9770 (drift=0.002948), G=0.9907 (drift=0.001453), h=0, Λ=0.0000 (drift=0.000036)
[Constants t=1010] α=0.9789 (drift=0.002937), G=0.9927 (drift=0.001449), h=0, Λ=0.0000 (drift=0.000035)
[Constants t=1020] α=0.9770 (drift=0.002925), G=0.9906 (drift=0.001446), h=0, Λ=0.0000 (drift=0.000035)
[Constants t=1030] α=0.9786 (drift=0.002914), G=0.9922 (drift=0.001442), h=0, Λ=0.0000 (drift=0.000035)
[Constants t=1040] α=0.9823 (drift=0.002904), G=0.9958 (drift=0.001440), h=0, Λ=0.0000 (drift=0.000035)
[Constants t=1050] α=0.9790 (drift=0.002893), G=0.9924 (drift=0.001437), h=0, Λ=0.0000 (drift=0.000034)
[Constants t=1060] α=0.9787 (drift=0.002882), G=0.9921 (drift=0.001433), h=0, Λ=0.0000 (drift=0.000034)
[Constants t=1070] α=0.9779 (drift=0.002871), G=0.9913 (drift=0.001430), h=0, Λ=0.0000 (drift=0.000034)
[Constants t=1080] α=0.9816 (drift=0.002861), G=0.9950 (drift=0.001427), h=0, Λ=0.0000 (drift=0.000033)
[Constants t=1090] α=0.9789 (drift=0.002850), G=0.9923 (drift=0.001424), h=0, Λ=0.0000 (drift=0.000033)
[Constants t=1100] α=0.9816 (drift=0.002838), G=0.9951 (drift=0.001419), h=0, Λ=0.0000 (drift=0.000033)
[Constants t=1110] α=0.9896 (drift=0.002832), G=0.9895 (drift=0.001415), h=71, Λ=0.0000 (drift=0.000033)
[Constants t=1120] α=0.9928 (drift=0.002832), G=0.9928 (drift=0.001412), h=71, Λ=0.0000 (drift=0.000032)
[Constants t=1130] α=0.9933 (drift=0.002832), G=0.9933 (drift=0.001408), h=73, Λ=0.0000 (drift=0.000032)
[Constants t=1140] α=0.9926 (drift=0.002831), G=0.9926 (drift=0.001404), h=71, Λ=0.0000 (drift=0.000032)
[Constants t=1150] α=0.9913 (drift=0.002831), G=0.9913 (drift=0.001401), h=72, Λ=0.0000 (drift=0.000032)
[Constants t=1160] α=0.9938 (drift=0.002830), G=0.9938 (drift=0.001397), h=74, Λ=0.0000 (drift=0.000032)
[Constants t=1170] α=0.9938 (drift=0.002828), G=0.9938 (drift=0.001393), h=74, Λ=0.0000 (drift=0.000031)
[Constants t=1180] α=0.9798 (drift=0.002826), G=0.9922 (drift=0.001389), h=0, Λ=0.0127 (drift=0.000031)
[Constants t=1190] α=0.9824 (drift=0.002815), G=0.9948 (drift=0.001386), h=0, Λ=0.0000 (drift=0.000031)
[Constants t=1200] α=0.9820 (drift=0.002804), G=0.9943 (drift=0.001382), h=0, Λ=0.0000 (drift=0.000031)
[Constants t=1210] α=0.9793 (drift=0.002794), G=0.9915 (drift=0.001379), h=0, Λ=0.0000 (drift=0.000031)
[Constants t=1220] α=0.9811 (drift=0.002783), G=0.9933 (drift=0.001376), h=0, Λ=0.0000 (drift=0.000030)
[Constants t=1230] α=0.9832 (drift=0.002772), G=0.9954 (drift=0.001372), h=0, Λ=0.0000 (drift=0.000030)
[Constants t=1240] α=0.9595 (drift=0.002755), G=0.9951 (drift=0.001368), h=0, Λ=0.0000 (drift=0.000030)
[Constants t=1250] α=0.9578 (drift=0.002734), G=0.9928 (drift=0.001364), h=0, Λ=0.0000 (drift=0.000030)
[Constants t=1260] α=0.9509 (drift=0.002713), G=0.9973 (drift=0.001361), h=0, Λ=0.0000 (drift=0.000030)
